STATE_ABBREVIATION,CITY,WEATHER_STATION
AL,BIRMINGHAM,"BIRMINGHAM AIRPORT, AL US"
AK,ANCHORAGE,"ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US"
AR,LITTLE ROCK,"NORTH LITTLE ROCK AIRPORT, AR US"
AZ,PHOENIX,"PHOENIX AIRPORT, AZ US"
CA,LOS ANGELES,"LOS ANGELES INTERNATIONAL AIRPORT, CA US"
CO,DENVER,"DENVER INTERNATIONAL AIRPORT, CO US"
CT,BRIDGEPORT,"IGOR I SIKORSKY MEMORIAL AIRPORT, CT US"
DE,WILMINGTON,"WILMINGTON NEW CASTLE CO AIRPORT, DE US"
FL,JACKSONVILLE,"JACKSONVILLE INTERNATIONAL AIRPORT, FL US"
GA,ATLANTA,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US"
HI,HONOLULU,"HONOLULU INTERNATIONAL AIRPORT, HI US"
ID,BOISE,"BOISE AIR TERMINAL, ID US"
IL,CHICAGO,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US"
IN,INDIANAPOLIS,"INDIANAPOLIS EAGLE CREEK AIRPORT, IN US"
IA,DES MOINES,"DES MOINES INTERNATIONAL AIRPORT, IA US"
KS,WICHITA,"WICHITA COLONEL JAMES JABARA AIRPORT, KS US"
KY,LOUISVILLE,"LOUISVILLE INTERNATIONAL AIRPORT, KY US"
LA,NEW ORLEANS,"NEW ORLEANS AIRPORT, LA US"
ME,PORTLAND,"PORTLAND JETPORT, ME US"
MD,BALTIMORE,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US"
MA,BOSTON,"BOSTON, MA US"
MI,DETROIT,"DETROIT CITY AIRPORT, MI US"
MN,MINNEAPOLIS,"MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US"
MS,JACKSON,"JACKSON HAWKINS FIELD, MS US"
MO,KANSAS CITY,"KANSAS CITY DOWNTOWN AIRPORT, MO US"
MT,BILLINGS,"BILLINGS INTERNATIONAL AIRPORT, MT US"
NE,OMAHA,"OMAHA EPPLEY AIRFIELD, NE US"
NV,LAS VEGAS,"LAS VEGAS AIR TERMINAL, NV US"
NH,MANCHESTER,"MANCHESTER AIRPORT, NH US"
NJ,NEWARK,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US"
NM,ALBUQUERQUE,"ALBUQUERQUE INTERNATIONAL AIRPORT, NM US"
NY,NEW YORK CITY,"JFK INTERNATIONAL AIRPORT, NY US"
NC,CHARLOTTE,"CHARLOTTE DOUGLAS AIRPORT, NC US"
ND,FARGO,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US"
OH,COLUMBUS,"COLUMBUS OHIO STATE UNIVERSITY AIRPORT, OH US"
OK,OKLAHOMA CITY,"OKLAHOMA CITY WILEY POST AIRPORT, OK US"
OR,PORTLAND,"PORTLAND TROUTDALE AIRPORT, OR US"
PA,PHILADELPHIA,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US"
RI,PROVIDENCE,"PROVIDENCE, RI US"
SC,COLUMBIA,"COLUMBIA OWENS DOWNTOWN AIRPORT, SC US"
SD,SIOUX FALLS,"SIOUX FALLS FOSS FIELD, SD US"
TN,MEMPHIS,"MEMPHIS INTERNATIONAL AIRPORT, TN US"
TX,HOUSTON,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US"
UT,SALT LAKE CITY,"SALT LAKE CITY INTERNATIONAL AIRPORT, UT US"
VT,BURLINGTON,"BURLINGTON INTERNATIONAL AIRPORT, VT US"
VA,Virginia Beach,"NORFOLK INTERNATIONAL AIRPORT, VA US"
WA,SEATTLE,"SEATTLE TACOMA AIRPORT, WA US"
WV,CHARLESTON,"CHARLESTON YEAGER AIRPORT, WV US"
WI,MILWAUKEE,"MILWAUKEE MITCHELL INTERNATIONAL AIRPORT, WI US"
WY,CHEYENNE,"CHEYENNE WSFO AIRPORT, WY US"
