"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT08","WT08_ATTRIBUTES"
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-01-01",,,"0.03",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-01-02",,,"0.01",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-01-03",,,"0.93",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-01-04",,,"2.00",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-01-05",,,"0.71",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-01-06",,,"0.21",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-01-07",,,"0.16",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-01-08",,,"0.62",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-01-09",,,"0.61",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-01-10",,,"1.75",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-01-11",,,"1.37",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-01-12",,,"0.43",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-01-13",,,"0.38",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-01-14",,,"0.06",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-01-15",,,"0.46",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-01-16",,,"0.45",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-01-17",,,"0.03",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-01-18",,,"0.04",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-01-19",,,"0.00",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-01-20",,,"0.24",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-01-21",,,"0.10",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-01-22",,,"0.00",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-01-23",,,"0.00",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-01-24",,,"0.00",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-01-25",,,"0.00",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-01-26",,,"0.04",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-01-27",,,"0.00",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-01-28",,,"0.00",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-01-29",,,"0.00",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-01-30",,,"0.00",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-01-31",,,"0.00",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-02-01",,,"0.07",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-02-02",,,"0.27",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-02-03",,,"0.12",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-02-04",,,"0.00",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-02-05",,,"0.00",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-02-06",,,"0.29",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-02-07",,,"0.19",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-02-08",,,"0.00","T,,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-02-09",,,"0.00",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-02-10",,,"0.17",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-02-11",,,"0.45",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-02-12",,,"0.16",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-02-13",,,"0.01",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-02-14",,,"0.00",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-02-15",,,"0.02",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-02-16",,,"0.00",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-02-17",,,"0.05",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-02-18",,,"0.03",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-02-19",,,"0.60",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-02-20",,,"0.50",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-02-21",,,"0.06",",,7,0800",,,,,,,,,,,,,,
