"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES"
"USW00013781","WILMINGTON NEW CASTLE CO AIRPORT, DE US","39.6744","-75.60567","24.1","2020-01-01","6.93",",,W",,,"0.00",",,W,2400","0.0",",,W,","0.0",",,W,","42","H,,S","46",",,W","27",",,W","  290",",,W","  330",",,W","16.1",",,W","23.0",",,W",,,,,,,,,,,,,,
"USW00013781","WILMINGTON NEW CASTLE CO AIRPORT, DE US","39.6744","-75.60567","24.1","2020-01-02","2.68",",,W",,,"0.00",",,W,2400","0.0",",,W,","0.0",",,W,","35","H,,S","50",",,W","24",",,W","  200",",,W","  200",",,W","12.1",",,W","13.0",",,W","    1",",,W",,,,,,,,,,,"    1",",,W"
"USW00013781","WILMINGTON NEW CASTLE CO AIRPORT, DE US","39.6744","-75.60567","24.1","2020-01-03","3.13",",,W",,,"0.31",",,W,2400","0.0",",,W,","0.0",",,W,","46","H,,S","50",",,W","42",",,W","  250",",,W","  290",",,W","10.1",",,W","13.0",",,W","    1",",,W",,,,,,,,,,,,
"USW00013781","WILMINGTON NEW CASTLE CO AIRPORT, DE US","39.6744","-75.60567","24.1","2020-01-04","6.04",",,W",,,"0.18",",,W,2400","0.0",",,W,","0.0",",,W,","49","H,,S","55",",,W","43",",,W","  320",",,W","  330",",,W","19.9",",,W","25.9",",,W","    1",",,W","    1",",,W",,,,,,,,,,
"USW00013781","WILMINGTON NEW CASTLE CO AIRPORT, DE US","39.6744","-75.60567","24.1","2020-01-05","17.00",",,W",,,"0.00",",,W,2400","0.0",",,W,","0.0",",,W,","41","H,,S","44",",,W","33",",,W","  320",",,W","  310",",,W","32.0",",,W","47.0",",,W",,,,,,,,,,,,,,
"USW00013781","WILMINGTON NEW CASTLE CO AIRPORT, DE US","39.6744","-75.60567","24.1","2020-01-06","7.61",",,W",,,"0.00",",,W,2400","0.0",",,W,","0.0",",,W,","40","H,,S","52",",,W","34",",,W","  280",",,W","  260",",,W","21.0",",,W","28.0",",,W",,,,,,,,,,,,,,
"USW00013781","WILMINGTON NEW CASTLE CO AIRPORT, DE US","39.6744","-75.60567","24.1","2020-01-07","6.71",",,W",,,"0.13",",,W,2400","0.0","T,,W,","0.0",",,W,","38","H,,S","46",",,W","28",",,W","  320",",,W","  310",",,W","15.0",",,W","18.1",",,W","    1",",,W",,,,,,,,,,,,
"USW00013781","WILMINGTON NEW CASTLE CO AIRPORT, DE US","39.6744","-75.60567","24.1","2020-01-08","13.87",",,W",,,"0.04",",,W,2400","0.4",",,W,","0.0",",,W,","35","H,,S","45",",,W","28",",,W","  320",",,W","  320",",,W","31.1",",,W","42.1",",,W","    1",",,W",,,,,,,,,,,"    1",",,W"
"USW00013781","WILMINGTON NEW CASTLE CO AIRPORT, DE US","39.6744","-75.60567","24.1","2020-01-09","6.93",",,W",,,"0.00",",,W,2400","0.0",",,W,","0.0",",,W,","29","H,,S","34",",,W","21",",,W","  320",",,W","  320",",,W","14.1",",,W","17.0",",,W",,,,,,,,,,,,,,
"USW00013781","WILMINGTON NEW CASTLE CO AIRPORT, DE US","39.6744","-75.60567","24.1","2020-01-10","6.49",",,W",,,"0.00",",,W,2400","0.0",",,W,","0.0",",,W,","40","H,,S","56",",,W","31",",,W","  210",",,W","  200",",,W","21.9",",,W","28.0",",,W",,,,,,,,,,,,,,
"USW00013781","WILMINGTON NEW CASTLE CO AIRPORT, DE US","39.6744","-75.60567","24.1","2020-01-11","11.41",",,W",,,"0.00",",,W,2400","0.0",",,W,","0.0",",,W,","55","H,,S","69",",,W","46",",,W","  200",",,W","  210",",,W","25.9",",,W","34.0",",,W",,,,,,,,,,,,,,
"USW00013781","WILMINGTON NEW CASTLE CO AIRPORT, DE US","39.6744","-75.60567","24.1","2020-01-12","15.43",",,W",,,"0.32",",,W,2400","0.0",",,W,","0.0",",,W,","65","H,,S","70",",,W","43",",,W","  270",",,W","  280",",,W","38.0",",,W","55.0",",,W","    1",",,W",,,,,,,,,,,,
"USW00013781","WILMINGTON NEW CASTLE CO AIRPORT, DE US","39.6744","-75.60567","24.1","2020-01-13","4.25",",,W",,,"0.00",",,W,2400","0.0",",,W,","0.0",",,W,","45","H,,S","50",",,W","37",",,W","   50",",,W","   50",",,W","12.1",",,W","13.0",",,W","    1",",,W",,,,,,,,,,,,
"USW00013781","WILMINGTON NEW CASTLE CO AIRPORT, DE US","39.6744","-75.60567","24.1","2020-01-14","3.80",",,W",,,"0.03",",,W,2400","0.0",",,W,","0.0",",,W,","42","H,,S","46",",,W","37",",,W","   70",",,W","   70",",,W","8.9",",,W","11.0",",,W","    1",",,W","    1",",,W",,,,,,,,,,
"USW00013781","WILMINGTON NEW CASTLE CO AIRPORT, DE US","39.6744","-75.60567","24.1","2020-01-15","6.49",",,W",,,"0.00","T,,W,2400","0.0",",,W,","0.0",",,W,","47","H,,S","56",",,W","41",",,W","  300",",,W","  310",",,W","14.1",",,W","18.1",",,W","    1",",,W","    1",",,W",,,,,,,,,"    1",",,W"
"USW00013781","WILMINGTON NEW CASTLE CO AIRPORT, DE US","39.6744","-75.60567","24.1","2020-01-16","17.90",",,W",,,"0.00",",,W,2400","0.0",",,W,","0.0",",,W,","47","H,,S","53",",,W","34",",,W","  310",",,W","  320",",,W","35.1",",,W","49.0",",,W","    1",",,W",,,,,,,,,,,,
"USW00013781","WILMINGTON NEW CASTLE CO AIRPORT, DE US","39.6744","-75.60567","24.1","2020-01-17","13.87",",,W",,,"0.00",",,W,2400","0.0",",,W,","0.0",",,W,","32","H,,S","35",",,W","20",",,W","  330",",,W","  320",",,W","29.1",",,W","42.9",",,W",,,,,,,,,,,,,,
"USW00013781","WILMINGTON NEW CASTLE CO AIRPORT, DE US","39.6744","-75.60567","24.1","2020-01-18","8.72",",,W",,,"0.24",",,W,2400","0.2",",,W,","0.0",",,W,","26","H,,S","40",",,W","22",",,W","  220",",,W","  230",",,W","18.1",",,W","27.1",",,W","    1",",,W",,,,,,,,,"    1",",,W",,
"USW00013781","WILMINGTON NEW CASTLE CO AIRPORT, DE US","39.6744","-75.60567","24.1","2020-01-19","14.54",",,W",,,"0.04",",,W,2400","0.0",",,W,","0.0",",,W,","38","H,,S","44",",,W","26",",,W","  300",",,W","  320",",,W","29.1",",,W","35.1",",,W","    1",",,W",,,,,,,,,,,,
"USW00013781","WILMINGTON NEW CASTLE CO AIRPORT, DE US","39.6744","-75.60567","24.1","2020-01-20","13.20",",,W",,,"0.00",",,W,2400","0.0",",,W,","0.0",",,W,","28","H,,S","34",",,W","21",",,W","  340",",,W","  340",",,W","23.0",",,W","32.0",",,W",,,,,,,,,,,,,,
"USW00013781","WILMINGTON NEW CASTLE CO AIRPORT, DE US","39.6744","-75.60567","24.1","2020-01-21","8.05",",,W",,,"0.00",",,W,2400","0.0",",,W,","0.0",",,W,","26","H,,S","37",",,W","16",",,W","  350",",,W","   10",",,W","17.0",",,W","21.9",",,W",,,,,,,,,,,,,,
"USW00013781","WILMINGTON NEW CASTLE CO AIRPORT, DE US","39.6744","-75.60567","24.1","2020-01-22","3.36",",,W",,,"0.00",",,W,2400","0.0",",,W,","0.0",",,W,","29","H,,S","41",",,W","18",",,W","  290",",,W","  290",",,W","8.9",",,W","12.1",",,W",,,,,,,,,,,,,,
"USW00013781","WILMINGTON NEW CASTLE CO AIRPORT, DE US","39.6744","-75.60567","24.1","2020-01-23","1.79",",,W",,,"0.00",",,W,2400","0.0",",,W,","0.0",",,W,","32","H,,S","43",",,W","20",",,W","  320",",,W","  320",",,W","6.9",",,W","6.9",",,W",,,,,,,,,,,,,,
"USW00013781","WILMINGTON NEW CASTLE CO AIRPORT, DE US","39.6744","-75.60567","24.1","2020-01-24","7.16",",,W",,,"0.00",",,W,2400","0.0",",,W,","0.0",",,W,","40","H,,S","56",",,W","25",",,W","  110",",,W","  110",",,W","15.0",",,W","19.0",",,W",,,,,,,,,,,,,,
"USW00013781","WILMINGTON NEW CASTLE CO AIRPORT, DE US","39.6744","-75.60567","24.1","2020-01-25","11.18",",,W",,,"2.54",",,W,2400","0.0",",,W,","0.0",",,W,","47","H,,S","54",",,W","39",",,W","   80",",,W","   80",",,W","23.9",",,W","30.0",",,W","    1",",,W",,,,,,,,,,,,
"USW00013781","WILMINGTON NEW CASTLE CO AIRPORT, DE US","39.6744","-75.60567","24.1","2020-01-26","8.50",",,W",,,"0.00",",,W,2400","0.0",",,W,","0.0",",,W,","41","H,,S","50",",,W","33",",,W","  310",",,W","  310",",,W","19.9",",,W","23.9",",,W",,,,,,,,,,,,,,
"USW00013781","WILMINGTON NEW CASTLE CO AIRPORT, DE US","39.6744","-75.60567","24.1","2020-01-27","8.28",",,W",,,"0.00",",,W,2400","0.0",",,W,","0.0",",,W,","40","H,,S","47",",,W","33",",,W","  290",",,W","  280",",,W","17.0",",,W","21.0",",,W",,,,,,,,,,,,,,
"USW00013781","WILMINGTON NEW CASTLE CO AIRPORT, DE US","39.6744","-75.60567","24.1","2020-01-28","10.74",",,W",,,"0.00",",,W,2400","0.0",",,W,","0.0",",,W,","41","H,,S","43",",,W","38",",,W","  310",",,W","  310",",,W","21.0",",,W","25.9",",,W",,,,,,,,,,,,,,
