Unnamed: 0,STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,AWND_ATTRIBUTES,EVAP,EVAP_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,WESD,WESD_ATTRIBUTES,WESF,WESF_ATTRIBUTES,MXPN,MXPN_ATTRIBUTES,PGTM,PGTM_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT02,WT02_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT05,WT05_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT08,WT08_ATTRIBUTES,PSUN,PSUN_ATTRIBUTES,TSUN,TSUN_ATTRIBUTES
,USW00026451,"ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US",61.169,-150.0278,36.6,2020-01-01,7.83,",,W",,,0.22,",,W,2400",6.2,",,W",11.0,",,W",24.0,"H,,S",22.0,",,W",7.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00026451,"ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US",61.169,-150.0278,36.6,2020-01-02,3.36,",,W",,,0.01,",,W,2400",0.7,",,W",11.0,",,W",11.0,"H,,S",13.0,",,W",3.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00026451,"ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US",61.169,-150.0278,36.6,2020-01-03,6.49,",,W",,,0.0,",,W,2400",0.0,",,W",7.9,",,W",6.0,"H,,S",9.0,",,W",-3.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00026451,"ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US",61.169,-150.0278,36.6,2020-01-04,2.01,",,W",,,0.0,"T,,W,2400",0.0,"T,,W",7.9,",,W",0.0,"H,,S",5.0,",,W",-9.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00026451,"ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US",61.169,-150.0278,36.6,2020-01-05,2.24,",,W",,,0.0,"T,,W,2400",0.0,"T,,W",7.9,",,W",-3.0,"H,,S",2.0,",,W",-10.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00026451,"ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US",61.169,-150.0278,36.6,2020-01-06,2.91,",,W",,,0.0,",,W,2400",0.0,",,W",7.9,",,W",-3.0,"H,,S",1.0,",,W",-11.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00026451,"ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US",61.169,-150.0278,36.6,2020-01-07,1.57,",,W",,,0.0,"T,,W,2400",0.0,"T,,W",7.9,",,W",-5.0,"H,,S",1.0,",,W",-10.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00026451,"ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US",61.169,-150.0278,36.6,2020-01-08,1.79,",,W",,,0.0,"T,,W,2400",0.1,",,W",7.9,",,W",-4.0,"H,,S",0.0,",,W",-11.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00026451,"ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US",61.169,-150.0278,36.6,2020-01-09,2.91,",,W",,,0.0,",,W,2400",0.0,",,W",7.9,",,W",-5.0,"H,,S",2.0,",,W",-9.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00026451,"ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US",61.169,-150.0278,36.6,2020-01-10,2.24,",,W",,,0.0,",,W,2400",0.0,",,W",7.9,",,W",-3.0,"H,,S",3.0,",,W",-10.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00026451,"ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US",61.169,-150.0278,36.6,2020-01-11,2.46,",,W",,,0.0,",,W,2400",0.0,",,W",7.9,",,W",-3.0,"H,,S",5.0,",,W",-9.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00026451,"ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US",61.169,-150.0278,36.6,2020-01-12,5.82,",,W",,,0.06,",,W,2400",0.7,",,W",7.1,",,W",3.0,"H,,S",14.0,",,W",-4.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00026451,"ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US",61.169,-150.0278,36.6,2020-01-13,3.13,",,W",,,0.0,"T,,W,2400",0.0,"T,,W",7.9,",,W",15.0,"H,,S",18.0,",,W",2.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00026451,"ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US",61.169,-150.0278,36.6,2020-01-14,3.13,",,W",,,0.0,"T,,W,2400",0.0,"T,,W",7.9,",,W",9.0,"H,,S",17.0,",,W",1.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00026451,"ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US",61.169,-150.0278,36.6,2020-01-15,4.7,",,W",,,0.0,",,W,2400",0.0,",,W",7.9,",,W",8.0,"H,,S",12.0,",,W",0.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00026451,"ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US",61.169,-150.0278,36.6,2020-01-16,4.03,",,W",,,0.0,",,W,2400",0.0,",,W",7.9,",,W",6.0,"H,,S",15.0,",,W",-2.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00026451,"ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US",61.169,-150.0278,36.6,2020-01-17,4.25,",,W",,,0.0,",,W,2400",0.0,",,W",7.9,",,W",5.0,"H,,S",15.0,",,W",-4.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00026451,"ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US",61.169,-150.0278,36.6,2020-01-18,10.74,",,W",,,0.0,",,W,2400",0.0,",,W",7.9,",,W",9.0,"H,,S",10.0,",,W",5.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00026451,"ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US",61.169,-150.0278,36.6,2020-01-19,4.7,",,W",,,0.0,"T,,W,2400",0.3,",,W",7.9,",,W",4.0,"H,,S",16.0,",,W",-5.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00026451,"ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US",61.169,-150.0278,36.6,2020-01-20,5.14,",,W",,,0.24,",,W,2400",2.6,",,W",7.9,",,W",15.0,"H,,S",22.0,",,W",13.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00026451,"ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US",61.169,-150.0278,36.6,2020-01-21,2.91,",,W",,,0.1,",,W,2400",2.9,",,W",11.0,",,W",18.0,"H,,S",22.0,",,W",13.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
