Unnamed: 0,STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,AWND_ATTRIBUTES,EVAP,EVAP_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,WESD,WESD_ATTRIBUTES,WESF,WESF_ATTRIBUTES,MXPN,MXPN_ATTRIBUTES,PGTM,PGTM_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT02,WT02_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT05,WT05_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT08,WT08_ATTRIBUTES,PSUN,PSUN_ATTRIBUTES,TSUN,TSUN_ATTRIBUTES
,USW00013876,"BIRMINGHAM AIRPORT, AL US",33.56556,-86.745,187.5,2020-01-01,2.91,",,W",,,0.0,",,W,2400",0.0,",,W",0.0,",,W",44.0,"H,,S",56.0,",,W",32.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00013876,"BIRMINGHAM AIRPORT, AL US",33.56556,-86.745,187.5,2020-01-02,7.83,",,W",,,2.38,",,W,2400",0.0,",,W",0.0,",,W",51.0,"H,,S",70.0,",,W",46.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00013876,"BIRMINGHAM AIRPORT, AL US",33.56556,-86.745,187.5,2020-01-03,4.25,",,W",,,0.93,",,W,2400",0.0,",,W",0.0,",,W",60.0,"H,,S",65.0,",,W",55.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00013876,"BIRMINGHAM AIRPORT, AL US",33.56556,-86.745,187.5,2020-01-04,11.18,",,W",,,0.03,",,W,2400",0.0,",,W",0.0,",,W",55.0,"H,,S",57.0,",,W",34.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00013876,"BIRMINGHAM AIRPORT, AL US",33.56556,-86.745,187.5,2020-01-05,3.36,",,W",,,0.0,",,W,2400",0.0,",,W",0.0,",,W",41.0,"H,,S",57.0,",,W",29.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00013876,"BIRMINGHAM AIRPORT, AL US",33.56556,-86.745,187.5,2020-01-06,5.14,",,W",,,0.0,",,W,2400",0.0,",,W",0.0,",,W",49.0,"H,,S",66.0,",,W",37.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00013876,"BIRMINGHAM AIRPORT, AL US",33.56556,-86.745,187.5,2020-01-07,10.07,",,W",,,0.0,"T,,W,2400",0.0,",,W",0.0,",,W",55.0,"H,,S",58.0,",,W",36.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00013876,"BIRMINGHAM AIRPORT, AL US",33.56556,-86.745,187.5,2020-01-08,1.12,",,W",,,0.0,",,W,2400",0.0,",,W",0.0,",,W",45.0,"H,,S",63.0,",,W",30.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00013876,"BIRMINGHAM AIRPORT, AL US",33.56556,-86.745,187.5,2020-01-09,8.5,",,W",,,0.0,",,W,2400",0.0,",,W",0.0,",,W",48.0,"H,,S",64.0,",,W",34.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00013876,"BIRMINGHAM AIRPORT, AL US",33.56556,-86.745,187.5,2020-01-10,14.32,",,W",,,0.07,",,W,2400",0.0,",,W",0.0,",,W",64.0,"H,,S",69.0,",,W",62.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
