Unnamed: 0,STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,AWND_ATTRIBUTES,EVAP,EVAP_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,WESD,WESD_ATTRIBUTES,WESF,WESF_ATTRIBUTES,MXPN,MXPN_ATTRIBUTES,PGTM,PGTM_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT02,WT02_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT05,WT05_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT08,WT08_ATTRIBUTES,PSUN,PSUN_ATTRIBUTES,TSUN,TSUN_ATTRIBUTES
,USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",33.938,-118.3888,29.6,2020-01-01,5.59,",,W",,,0.0,",,W,2400",0.0,",,H",0.0,",,H",61.0,"H,,S",67.0,",,W",50.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",33.938,-118.3888,29.6,2020-01-02,4.7,",,W",,,0.0,",,W,2400",0.0,",,H",0.0,",,H",58.0,"H,,S",65.0,",,W",52.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",33.938,-118.3888,29.6,2020-01-03,4.47,",,W",,,0.0,",,W,2400",0.0,",,H",0.0,",,H",60.0,"H,,S",72.0,",,W",52.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",33.938,-118.3888,29.6,2020-01-04,4.92,",,W",,,0.0,",,W,2400",0.0,",,H",0.0,",,H",59.0,"H,,S",67.0,",,W",49.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",33.938,-118.3888,29.6,2020-01-05,4.47,",,W",,,0.0,",,W,2400",0.0,",,H",0.0,",,H",58.0,"H,,S",68.0,",,W",49.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",33.938,-118.3888,29.6,2020-01-06,5.59,",,W",,,0.0,",,W,2400",0.0,",,H",0.0,",,H",61.0,"H,,S",79.0,",,W",47.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",33.938,-118.3888,29.6,2020-01-07,7.83,",,W",,,0.0,",,W,2400",0.0,",,H",0.0,",,H",66.0,"H,,S",79.0,",,W",55.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",33.938,-118.3888,29.6,2020-01-08,5.82,",,W",,,0.0,",,W,2400",0.0,",,H",0.0,",,H",58.0,"H,,S",64.0,",,W",50.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",33.938,-118.3888,29.6,2020-01-09,7.61,",,W",,,0.0,"T,,W,2400",0.0,",,H",0.0,",,H",57.0,"H,,S",61.0,",,W",54.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",33.938,-118.3888,29.6,2020-01-10,4.92,",,W",,,0.0,",,W,2400",0.0,",,H",0.0,",,H",57.0,"H,,S",66.0,",,W",46.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",33.938,-118.3888,29.6,2020-01-11,5.14,",,W",,,0.0,",,W,2400",0.0,",,H",0.0,",,H",56.0,"H,,S",63.0,",,W",48.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",33.938,-118.3888,29.6,2020-01-12,5.59,",,W",,,0.0,",,W,2400",0.0,",,H",0.0,",,H",56.0,"H,,S",63.0,",,W",49.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",33.938,-118.3888,29.6,2020-01-13,5.59,",,W",,,0.0,",,W,2400",0.0,",,H",0.0,",,H",56.0,"H,,S",62.0,",,W",50.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",33.938,-118.3888,29.6,2020-01-14,5.14,",,W",,,0.0,",,W,2400",0.0,",,H",0.0,",,H",55.0,"H,,S",62.0,",,W",48.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",33.938,-118.3888,29.6,2020-01-15,5.14,",,W",,,0.0,",,W,2400",0.0,",,H",0.0,",,H",55.0,"H,,S",64.0,",,W",47.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",33.938,-118.3888,29.6,2020-01-16,5.82,",,W",,,0.26,",,W,2400",,,0.0,",,H",56.0,"H,,S",61.0,",,W",49.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",33.938,-118.3888,29.6,2020-01-17,4.92,",,W",,,0.07,",,W,2400",0.0,",,H",0.0,",,H",55.0,"H,,S",62.0,",,W",50.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",33.938,-118.3888,29.6,2020-01-18,6.26,",,W",,,0.0,",,W,2400",0.0,",,H",0.0,",,H",58.0,"H,,S",71.0,",,W",48.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",33.938,-118.3888,29.6,2020-01-19,5.82,",,W",,,0.0,"T,,W,2400",0.0,",,H",0.0,",,H",62.0,"H,,S",77.0,",,W",52.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",33.938,-118.3888,29.6,2020-01-20,5.37,",,W",,,0.02,",,W,2400",0.0,",,H",0.0,",,H",61.0,"H,,S",62.0,",,W",55.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",33.938,-118.3888,29.6,2020-01-21,8.28,",,W",,,0.03,",,W,2400",0.0,",,H",0.0,",,H",60.0,"H,,S",62.0,",,W",56.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",33.938,-118.3888,29.6,2020-01-22,4.25,",,W",,,0.0,",,W,2400",0.0,",,H",0.0,",,H",57.0,"H,,S",64.0,",,W",51.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",33.938,-118.3888,29.6,2020-01-23,5.14,",,W",,,0.0,",,W,2400",0.0,",,H",0.0,",,H",59.0,"H,,S",69.0,",,W",51.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",33.938,-118.3888,29.6,2020-01-24,4.47,",,W",,,0.0,",,W,2400",0.0,",,H",0.0,",,H",61.0,"H,,S",72.0,",,W",51.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",33.938,-118.3888,29.6,2020-01-25,5.14,",,W",,,0.0,",,W,2400",0.0,",,H",0.0,",,H",58.0,"H,,S",65.0,",,W",50.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",33.938,-118.3888,29.6,2020-01-26,4.7,",,W",,,0.0,",,W,2400",0.0,",,H",0.0,",,H",58.0,"H,,S",62.0,",,W",56.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",33.938,-118.3888,29.6,2020-01-27,6.93,",,W",,,0.0,",,W,2400",0.0,",,H",0.0,",,H",58.0,"H,,S",70.0,",,W",50.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",33.938,-118.3888,29.6,2020-01-28,6.93,",,W",,,0.0,",,W,2400",0.0,",,H",0.0,",,H",64.0,"H,,S",72.0,",,W",54.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",33.938,-118.3888,29.6,2020-01-29,11.41,",,W",,,0.0,",,W,2400",0.0,",,H",0.0,",,H",67.0,"H,,S",78.0,",,W",62.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",33.938,-118.3888,29.6,2020-01-30,5.59,",,W",,,0.0,",,W,2400",0.0,",,H",0.0,",,H",66.0,"H,,S",73.0,",,W",52.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",33.938,-118.3888,29.6,2020-01-31,4.47,",,W",,,0.0,",,W,2400",0.0,",,H",0.0,",,H",63.0,"H,,S",81.0,",,W",51.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",33.938,-118.3888,29.6,2020-02-01,4.7,",,W",,,0.0,",,W,2400",0.0,",,H",0.0,",,H",67.0,"H,,S",81.0,",,W",57.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
