Unnamed: 0,STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,AWND_ATTRIBUTES,EVAP,EVAP_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,WESD,WESD_ATTRIBUTES,WESF,WESF_ATTRIBUTES,MXPN,MXPN_ATTRIBUTES,PGTM,PGTM_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT02,WT02_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT05,WT05_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT08,WT08_ATTRIBUTES,PSUN,PSUN_ATTRIBUTES,TSUN,TSUN_ATTRIBUTES
,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",,,,2020-01-01,13.42,,,,0.0,,0.0,,0.0,,37.0,,50.0,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",,,,2020-01-02,7.61,,,,0.0,,0.0,,0.0,,37.0,,45.0,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",,,,2020-01-03,11.41,,,,0.0,,0.0,,0.0,,33.0,,48.0,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",,,,2020-01-04,13.2,,,,0.0,,0.0,,0.0,,42.0,,62.0,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",,,,2020-01-05,14.32,,,,0.0,,0.0,,0.0,,41.0,,45.0,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",,,,2020-01-06,18.12,,,,0.0,,0.0,,0.0,,33.0,,43.0,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",,,,2020-01-07,11.41,,,,0.0,,0.0,,0.0,,43.0,,58.0,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",,,,2020-01-08,14.09,,,,0.0,,0.0,,0.0,,44.0,,62.0,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",,,,2020-01-09,12.53,,,,0.0,,0.0,,0.0,,36.0,,43.0,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",,,,2020-01-10,10.29,,,,0.0,,0.0,,0.0,,30.0,,31.0,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",,,,2020-01-11,7.61,,,,0.0,,0.0,,0.0,,19.0,,43.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",,,,2020-01-12,7.83,,,,0.0,,0.0,,0.0,,33.0,,44.0,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",,,,2020-01-13,10.07,,,,0.0,,0.0,,0.0,,28.0,,46.0,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",,,,2020-01-14,10.74,,,,0.0,,0.0,,0.0,,35.0,,58.0,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",,,,2020-01-15,15.88,,,,0.0,,0.0,,0.0,,31.0,,47.0,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",,,,2020-01-16,6.93,,,,0.0,,0.0,,0.0,,29.0,,37.0,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",,,,2020-01-17,15.21,,,,0.0,,0.0,,0.0,,34.0,,55.0,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",,,,2020-01-18,8.95,,,,0.0,,0.0,,0.0,,29.0,,45.0,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
