Unnamed: 0,STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,AWND_ATTRIBUTES,EVAP,EVAP_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,WESD,WESD_ATTRIBUTES,WESF,WESF_ATTRIBUTES,MXPN,MXPN_ATTRIBUTES,PGTM,PGTM_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT02,WT02_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT05,WT05_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT08,WT08_ATTRIBUTES,PSUN,PSUN_ATTRIBUTES,TSUN,TSUN_ATTRIBUTES
,USW00094702,"IGOR I SIKORSKY MEMORIAL AIRPORT, CT US",,,,2020-01-01,10.74,,,,0.0,,0.0,,0.0,,40.0,,42.0,,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00094702,"IGOR I SIKORSKY MEMORIAL AIRPORT, CT US",,,,2020-01-02,7.61,,,,0.0,,0.0,,0.0,,38.0,,47.0,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00094702,"IGOR I SIKORSKY MEMORIAL AIRPORT, CT US",,,,2020-01-03,4.7,,,,0.07,,0.0,,0.0,,43.0,,45.0,,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00094702,"IGOR I SIKORSKY MEMORIAL AIRPORT, CT US",,,,2020-01-04,6.04,,,,0.15,,0.0,,0.0,,45.0,,47.0,,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00094702,"IGOR I SIKORSKY MEMORIAL AIRPORT, CT US",,,,2020-01-05,14.09,,,,0.01,,0.0,,0.0,,41.0,,43.0,,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00094702,"IGOR I SIKORSKY MEMORIAL AIRPORT, CT US",,,,2020-01-06,8.5,,,,0.0,,0.0,,0.0,,37.0,,47.0,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00094702,"IGOR I SIKORSKY MEMORIAL AIRPORT, CT US",,,,2020-01-07,6.71,,,,0.11,,0.2,,0.0,,39.0,,43.0,,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00094702,"IGOR I SIKORSKY MEMORIAL AIRPORT, CT US",,,,2020-01-08,14.76,,,,0.01,,0.0,,0.0,,36.0,,43.0,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00094702,"IGOR I SIKORSKY MEMORIAL AIRPORT, CT US",,,,2020-01-09,8.5,,,,0.0,,0.0,,0.0,,29.0,,34.0,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00094702,"IGOR I SIKORSKY MEMORIAL AIRPORT, CT US",,,,2020-01-10,5.37,,,,0.0,,0.0,,0.0,,38.0,,47.0,,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
