Unnamed: 0,STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,AWND_ATTRIBUTES,EVAP,EVAP_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,WESD,WESD_ATTRIBUTES,WESF,WESF_ATTRIBUTES,MXPN,MXPN_ATTRIBUTES,PGTM,PGTM_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT02,WT02_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT05,WT05_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT08,WT08_ATTRIBUTES,PSUN,PSUN_ATTRIBUTES,TSUN,TSUN_ATTRIBUTES
,USW00013889,"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",,,,2020-01-01,4.03,,,,0.0,,0.0,,0.0,,51.0,,65.0,,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00013889,"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",,,,2020-01-02,4.92,,,,0.0,,0.0,,0.0,,57.0,,76.0,,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00013889,"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",,,,2020-01-03,9.62,,,,0.0,,0.0,,0.0,,71.0,,85.0,,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00013889,"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",,,,2020-01-04,12.75,,,,0.07,,0.0,,0.0,,71.0,,75.0,,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00013889,"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",,,,2020-01-05,7.16,,,,0.0,,0.0,,0.0,,53.0,,62.0,,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00013889,"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",,,,2020-01-06,3.8,,,,0.0,,0.0,,0.0,,50.0,,70.0,,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00013889,"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",,,,2020-01-07,8.05,,,,0.0,,0.0,,0.0,,54.0,,73.0,,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00013889,"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",,,,2020-01-08,2.91,,,,0.0,,0.0,,0.0,,51.0,,67.0,,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00013889,"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",,,,2020-01-09,6.93,,,,0.0,,0.0,,0.0,,52.0,,75.0,,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00013889,"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",,,,2020-01-10,9.62,,,,0.0,,0.0,,0.0,,69.0,,79.0,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
