Unnamed: 0,STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,AWND_ATTRIBUTES,EVAP,EVAP_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,WESD,WESD_ATTRIBUTES,WESF,WESF_ATTRIBUTES,MXPN,MXPN_ATTRIBUTES,PGTM,PGTM_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT02,WT02_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT05,WT05_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT08,WT08_ATTRIBUTES,PSUN,PSUN_ATTRIBUTES,TSUN,TSUN_ATTRIBUTES
,USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",21.324,-157.9294,2.1,2020-01-01,6.26,",,W",,,0.0,",,W,2400",,,,,76.0,"H,,S",81.0,",,W",68.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",21.324,-157.9294,2.1,2020-01-02,7.16,",,W",,,0.01,",,W,2400",,,,,75.0,"H,,S",82.0,",,W",68.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",21.324,-157.9294,2.1,2020-01-03,12.53,",,W",,,0.15,",,W,2400",0.0,",,H",,,75.0,"H,,S",82.0,",,W",70.0,",,W",,,,,,,,,,,,,,,,,1.0,",,W",,,,,,,,,,,,,,,,
,USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",21.324,-157.9294,2.1,2020-01-04,11.63,",,W",,,0.0,"T,,W,2400",0.0,",,H",,,76.0,"H,,S",84.0,",,W",73.0,",,W",,,,,,,,,,,,,,,,,1.0,",,W",,,,,,,,,,,1.0,",,W",,,,
,USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",21.324,-157.9294,2.1,2020-01-05,11.41,",,W",,,0.0,"T,,W,2400",0.0,",,H",,,77.0,"H,,S",82.0,",,W",73.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",21.324,-157.9294,2.1,2020-01-06,13.42,",,W",,,0.0,"T,,W,2400",0.0,",,H",,,77.0,"H,,S",83.0,",,W",74.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,",,W",,,,
,USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",21.324,-157.9294,2.1,2020-01-07,20.58,",,W",,,0.0,"T,,W,2400",0.0,",,H",,,78.0,"H,,S",82.0,",,W",72.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",21.324,-157.9294,2.1,2020-01-08,15.66,",,W",,,0.0,"T,,W,2400",,,,,75.0,"H,,S",82.0,",,W",71.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",21.324,-157.9294,2.1,2020-01-09,19.01,",,W",,,0.02,",,W,2400",0.0,",,H",,,75.0,"H,,S",80.0,",,W",70.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",21.324,-157.9294,2.1,2020-01-10,17.22,",,W",,,0.19,",,W,2400",0.0,",,H",,,75.0,"H,,S",82.0,",,W",71.0,",,W",,,,,,,,,,,,,,,,,1.0,",,W",,,,,,,,,,,,,,,,
,USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",21.324,-157.9294,2.1,2020-01-11,13.87,",,W",,,0.06,",,W,2400",0.0,",,H",,,76.0,"H,,S",81.0,",,W",73.0,",,W",,,,,,,,,,,,,,,,,1.0,",,W",,,,,,,,,,,1.0,",,W",,,,
