Unnamed: 0,STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,AWND_ATTRIBUTES,EVAP,EVAP_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,WESD,WESD_ATTRIBUTES,WESF,WESF_ATTRIBUTES,MXPN,MXPN_ATTRIBUTES,PGTM,PGTM_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT02,WT02_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT05,WT05_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT08,WT08_ATTRIBUTES,PSUN,PSUN_ATTRIBUTES,TSUN,TSUN_ATTRIBUTES
,USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",41.5338,-93.65299999999999,291.7,2020-01-01,12.3,",,W",,,0.0,",,W,2400",0.0,",,W",0.0,",,W",31.0,"H,,S",49.0,",,W",21.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",41.5338,-93.65299999999999,291.7,2020-01-02,8.72,",,W",,,0.0,",,W,2400",0.0,",,W",0.0,",,W",40.0,"H,,S",48.0,",,W",31.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",41.5338,-93.65299999999999,291.7,2020-01-03,8.5,",,W",,,0.0,"T,,W,2400",0.1,",,W",0.0,",,W",33.0,"H,,S",38.0,",,W",30.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",41.5338,-93.65299999999999,291.7,2020-01-04,10.96,",,W",,,0.01,",,W,2400",0.2,",,W",0.0,"T,,W",28.0,"H,,S",33.0,",,W",23.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",41.5338,-93.65299999999999,291.7,2020-01-05,17.67,",,W",,,0.0,",,W,2400",0.0,",,W",0.0,",,W",36.0,"H,,S",45.0,",,W",28.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",41.5338,-93.65299999999999,291.7,2020-01-06,5.37,",,W",,,0.0,"T,,W,2400",0.0,"T,,W",0.0,",,W",32.0,"H,,S",44.0,",,W",22.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",41.5338,-93.65299999999999,291.7,2020-01-07,10.51,",,W",,,0.0,",,W,2400",0.0,",,W",0.0,",,W",33.0,"H,,S",44.0,",,W",24.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",41.5338,-93.65299999999999,291.7,2020-01-08,11.86,",,W",,,0.0,",,W,2400",0.0,",,W",0.0,",,W",23.0,"H,,S",29.0,",,W",14.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",41.5338,-93.65299999999999,291.7,2020-01-09,16.11,",,W",,,0.0,",,W,2400",0.0,",,W",0.0,",,W",40.0,"H,,S",59.0,",,W",29.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",41.5338,-93.65299999999999,291.7,2020-01-10,13.87,",,W",,,0.32,",,W,2400",4.0,",,W",0.0,",,W",29.0,"H,,S",31.0,",,W",17.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",41.5338,-93.65299999999999,291.7,2020-01-11,11.63,",,W",,,0.0,"T,,W,2400",0.0,"T,,W",3.9,",,W",16.0,"H,,S",20.0,",,W",11.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",41.5338,-93.65299999999999,291.7,2020-01-12,6.71,",,W",,,0.08,",,W,2400",1.4,",,W",3.1,",,W",20.0,"H,,S",27.0,",,W",16.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",41.5338,-93.65299999999999,291.7,2020-01-13,9.62,",,W",,,0.01,",,W,2400",0.0,",,W",3.9,",,W",27.0,"H,,S",33.0,",,W",27.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",41.5338,-93.65299999999999,291.7,2020-01-14,9.17,",,W",,,0.01,",,W,2400",0.0,",,W",3.9,",,W",31.0,"H,,S",35.0,",,W",21.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",41.5338,-93.65299999999999,291.7,2020-01-15,12.3,",,W",,,0.0,"T,,W,2400",0.0,"T,,W",2.0,",,W",24.0,"H,,S",27.0,",,W",5.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",41.5338,-93.65299999999999,291.7,2020-01-16,8.05,",,W",,,0.0,",,W,2400",0.0,",,W",2.0,",,W",5.0,"H,,S",11.0,",,W",-3.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",41.5338,-93.65299999999999,291.7,2020-01-17,12.3,",,W",,,0.61,",,W,2400",5.7,",,W",2.0,",,W",14.0,"H,,S",30.0,",,W",8.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",41.5338,-93.65299999999999,291.7,2020-01-18,23.71,",,W",,,0.03,",,W,2400",0.3,",,W",7.1,",,W",21.0,"H,,S",32.0,",,W",0.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",41.5338,-93.65299999999999,291.7,2020-01-19,15.66,",,W",,,0.0,"T,,W,2400",0.0,"T,,W",7.1,",,W",1.0,"H,,S",5.0,",,W",-3.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",41.5338,-93.65299999999999,291.7,2020-01-20,5.82,",,W",,,0.0,"T,,W,2400",0.2,",,W",7.1,",,W",4.0,"H,,S",12.0,",,W",-3.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",41.5338,-93.65299999999999,291.7,2020-01-21,10.51,",,W",,,0.0,"T,,W,2400",0.0,"T,,W",7.1,",,W",5.0,"H,,S",25.0,",,W",-4.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",41.5338,-93.65299999999999,291.7,2020-01-22,12.53,",,W",,,0.27,",,W,2400",1.9,",,W",7.1,",,W",28.0,"H,,S",33.0,",,W",25.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",41.5338,-93.65299999999999,291.7,2020-01-23,6.71,",,W",,,0.01,",,W,2400",0.1,",,W",7.9,",,W",32.0,"H,,S",35.0,",,W",32.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",41.5338,-93.65299999999999,291.7,2020-01-24,12.75,",,W",,,0.19,",,W,2400",2.2,",,W",7.9,",,W",31.0,"H,,S",32.0,",,W",28.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",41.5338,-93.65299999999999,291.7,2020-01-25,10.29,",,W",,,0.0,"T,,W,2400",0.0,"T,,W",9.8,",,W",30.0,"H,,S",32.0,",,W",18.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",41.5338,-93.65299999999999,291.7,2020-01-26,5.82,",,W",,,0.0,"T,,W,2400",0.0,",,W",9.1,",,W",26.0,"H,,S",31.0,",,W",23.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",41.5338,-93.65299999999999,291.7,2020-01-27,6.26,",,W",,,0.0,",,W,2400",0.0,",,W",7.9,",,W",29.0,"H,,S",31.0,",,W",25.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
