Unnamed: 0,STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,AWND_ATTRIBUTES,EVAP,EVAP_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,WESD,WESD_ATTRIBUTES,WESF,WESF_ATTRIBUTES,MXPN,MXPN_ATTRIBUTES,PGTM,PGTM_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT02,WT02_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT05,WT05_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT08,WT08_ATTRIBUTES,PSUN,PSUN_ATTRIBUTES,TSUN,TSUN_ATTRIBUTES
,USW00003974,"WICHITA COLONEL JAMES JABARA AIRPORT, KS US",37.746109999999994,-97.22111,433.1,2020-01-01,15.66,",,W",,,0.0,",,W",,,,,,,56.0,",,W",28.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00003974,"WICHITA COLONEL JAMES JABARA AIRPORT, KS US",37.746109999999994,-97.22111,433.1,2020-01-02,7.16,",,W",,,0.0,",,W",,,,,,,55.0,",,W",33.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00003974,"WICHITA COLONEL JAMES JABARA AIRPORT, KS US",37.746109999999994,-97.22111,433.1,2020-01-03,11.18,",,W",,,0.0,"T,,W",,,,,,,51.0,",,W",29.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00003974,"WICHITA COLONEL JAMES JABARA AIRPORT, KS US",37.746109999999994,-97.22111,433.1,2020-01-04,9.17,",,W",,,0.0,",,W",,,,,,,47.0,",,W",24.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00003974,"WICHITA COLONEL JAMES JABARA AIRPORT, KS US",37.746109999999994,-97.22111,433.1,2020-01-05,12.3,",,W",,,0.0,",,W",,,,,,,55.0,",,W",30.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00003974,"WICHITA COLONEL JAMES JABARA AIRPORT, KS US",37.746109999999994,-97.22111,433.1,2020-01-06,6.71,",,W",,,0.0,",,W",,,,,,,51.0,",,W",24.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00003974,"WICHITA COLONEL JAMES JABARA AIRPORT, KS US",37.746109999999994,-97.22111,433.1,2020-01-07,9.17,",,W",,,0.0,",,W",,,,,,,56.0,",,W",28.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00003974,"WICHITA COLONEL JAMES JABARA AIRPORT, KS US",37.746109999999994,-97.22111,433.1,2020-01-08,14.32,",,W",,,0.0,",,W",,,,,,,61.0,",,W",26.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00003974,"WICHITA COLONEL JAMES JABARA AIRPORT, KS US",37.746109999999994,-97.22111,433.1,2020-01-09,14.99,",,W",,,0.0,",,W",,,,,,,60.0,",,W",40.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00003974,"WICHITA COLONEL JAMES JABARA AIRPORT, KS US",37.746109999999994,-97.22111,433.1,2020-01-10,17.67,",,W",,,0.98,",,W",,,,,,,46.0,",,W",21.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
