Unnamed: 0,STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,AWND_ATTRIBUTES,EVAP,EVAP_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,WESD,WESD_ATTRIBUTES,WESF,WESF_ATTRIBUTES,MXPN,MXPN_ATTRIBUTES,PGTM,PGTM_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT02,WT02_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT05,WT05_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT08,WT08_ATTRIBUTES,PSUN,PSUN_ATTRIBUTES,TSUN,TSUN_ATTRIBUTES
,USW00012916,"NEW ORLEANS AIRPORT, LA US",29.996909999999996,-90.27750999999999,1.2,2020-01-01,5.82,",,W",,,0.02,",,W,2400",,,0.0,",,H",56.0,"H,,S",63.0,",,W",49.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00012916,"NEW ORLEANS AIRPORT, LA US",29.996909999999996,-90.27750999999999,1.2,2020-01-02,12.3,",,W",,,0.35,",,W,2400",0.0,",,H",0.0,",,H",68.0,"H,,S",78.0,",,W",60.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00012916,"NEW ORLEANS AIRPORT, LA US",29.996909999999996,-90.27750999999999,1.2,2020-01-03,6.93,",,W",,,1.85,",,W,2400",0.0,",,H",0.0,",,H",65.0,"H,,S",72.0,",,W",58.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00012916,"NEW ORLEANS AIRPORT, LA US",29.996909999999996,-90.27750999999999,1.2,2020-01-04,9.17,",,W",,,0.0,",,W,2400",0.0,",,H",0.0,",,H",60.0,"H,,S",65.0,",,W",47.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00012916,"NEW ORLEANS AIRPORT, LA US",29.996909999999996,-90.27750999999999,1.2,2020-01-05,5.14,",,W",,,0.0,",,W,2400",0.0,",,H",0.0,",,H",54.0,"H,,S",67.0,",,W",42.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00012916,"NEW ORLEANS AIRPORT, LA US",29.996909999999996,-90.27750999999999,1.2,2020-01-06,6.04,",,W",,,0.0,",,W,2400",0.0,",,H",0.0,",,H",59.0,"H,,S",72.0,",,W",50.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00012916,"NEW ORLEANS AIRPORT, LA US",29.996909999999996,-90.27750999999999,1.2,2020-01-07,8.72,",,W",,,0.0,"T,,W,2400",0.0,",,H",0.0,",,H",61.0,"H,,S",65.0,",,W",52.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00012916,"NEW ORLEANS AIRPORT, LA US",29.996909999999996,-90.27750999999999,1.2,2020-01-08,6.93,",,W",,,0.0,",,W,2400",0.0,",,H",0.0,",,H",55.0,"H,,S",66.0,",,W",42.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00012916,"NEW ORLEANS AIRPORT, LA US",29.996909999999996,-90.27750999999999,1.2,2020-01-09,12.3,",,W",,,0.0,"T,,W,2400",0.0,",,H",0.0,",,H",61.0,"H,,S",74.0,",,W",52.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00012916,"NEW ORLEANS AIRPORT, LA US",29.996909999999996,-90.27750999999999,1.2,2020-01-10,14.99,",,W",,,0.17,",,W,2400",0.0,",,H",0.0,",,H",71.0,"H,,S",78.0,",,W",68.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
