Unnamed: 0,STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,AWND_ATTRIBUTES,EVAP,EVAP_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,WESD,WESD_ATTRIBUTES,WESF,WESF_ATTRIBUTES,MXPN,MXPN_ATTRIBUTES,PGTM,PGTM_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT02,WT02_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT05,WT05_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT08,WT08_ATTRIBUTES,PSUN,PSUN_ATTRIBUTES,TSUN,TSUN_ATTRIBUTES
,USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,2020-01-01,15.43,",,W",,,0.0,",,W,2400",0.0,",,W",,,39.0,"H,,S",43.0,",,W",36.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,2020-01-02,12.53,",,W",,,0.0,",,W,2400",0.0,",,W",,,40.0,"H,,S",49.0,",,W",34.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,2020-01-03,7.16,",,W",,,0.0,",,W,2400",0.0,",,W",,,47.0,"H,,S",52.0,",,W",44.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,2020-01-04,5.37,",,W",,,0.13,",,W,2400",0.0,",,W",,,47.0,"H,,S",48.0,",,W",40.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,2020-01-05,16.55,",,W",,,0.11,",,W,2400",0.0,"T,,W",,,39.0,"H,,S",41.0,",,W",32.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,2020-01-06,6.71,",,W",,,0.0,"T,,W,2400",0.0,"T,,W",,,33.0,"H,,S",41.0,",,W",27.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,2020-01-07,9.17,",,W",,,0.0,"T,,W,2400",0.0,"T,,W",,,38.0,"H,,S",42.0,",,W",33.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,2020-01-08,14.09,",,W",,,0.02,",,W,2400",0.1,",,W",,,38.0,"H,,S",45.0,",,W",29.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,2020-01-09,13.2,",,W",,,0.0,",,W,2400",0.0,",,W",,,29.0,"H,,S",33.0,",,W",22.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,2020-01-10,13.87,",,W",,,0.0,",,W,2400",0.0,",,W",,,38.0,"H,,S",53.0,",,W",29.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
