Unnamed: 0,STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,AWND_ATTRIBUTES,EVAP,EVAP_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,WESD,WESD_ATTRIBUTES,WESF,WESF_ATTRIBUTES,MXPN,MXPN_ATTRIBUTES,PGTM,PGTM_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT02,WT02_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT05,WT05_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT08,WT08_ATTRIBUTES,PSUN,PSUN_ATTRIBUTES,TSUN,TSUN_ATTRIBUTES
,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2020-01-01,9.84,",,W",,,0.0,",,W,2400",0.0,",,W",0.0,",,W",45.0,"H,,S",49.0,",,W",29.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2020-01-02,2.24,",,W",,,0.0,"T,,W,2400",0.0,",,W",0.0,",,W",37.0,"H,,S",54.0,",,W",25.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2020-01-03,4.7,",,W",,,0.25,",,W,2400",0.0,",,W",0.0,",,W",49.0,"H,,S",53.0,",,W",47.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2020-01-04,4.92,",,W",,,0.19,",,W,2400",0.0,",,W",0.0,",,W",53.0,"H,,S",59.0,",,W",45.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2020-01-05,12.53,",,W",,,0.0,"T,,W,2400",0.0,",,W",0.0,",,W",42.0,"H,,S",45.0,",,W",30.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2020-01-06,6.04,",,W",,,0.0,",,W,2400",0.0,",,W",0.0,",,W",41.0,"H,,S",54.0,",,W",34.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2020-01-07,4.7,",,W",,,0.42,",,W,2400",1.5,",,W",0.0,",,W",37.0,"H,,S",47.0,",,W",28.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2020-01-08,10.51,",,W",,,0.0,"T,,W,2400",0.0,"T,,W",1.2,",,W",36.0,"H,,S",44.0,",,W",29.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2020-01-09,3.8,",,W",,,0.0,",,W,2400",0.0,",,W",0.0,"T,,W",31.0,"H,,S",37.0,",,W",23.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2020-01-10,3.8,",,W",,,0.0,",,W,2400",0.0,",,W",0.0,",,W",40.0,"H,,S",55.0,",,W",31.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2020-01-11,8.28,",,W",,,0.0,",,W,2400",0.0,",,W",0.0,",,W",55.0,"H,,S",72.0,",,W",44.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2020-01-12,11.18,",,W",,,0.29,",,W,2400",0.0,",,W",0.0,",,W",66.0,"H,,S",70.0,",,W",47.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2020-01-13,3.36,",,W",,,0.0,",,W,2400",0.0,",,W",0.0,",,W",48.0,"H,,S",53.0,",,W",40.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2020-01-14,2.91,",,W",,,0.06,",,W,2400",0.0,",,W",0.0,",,W",43.0,"H,,S",46.0,",,W",38.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2020-01-15,4.47,",,W",,,0.0,",,W,2400",0.0,",,W",0.0,",,W",48.0,"H,,S",58.0,",,W",40.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2020-01-16,14.76,",,W",,,0.0,",,W,2400",0.0,",,W",0.0,",,W",49.0,"H,,S",54.0,",,W",36.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2020-01-17,10.07,",,W",,,0.0,",,W,2400",0.0,",,W",0.0,",,W",34.0,"H,,S",38.0,",,W",26.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2020-01-18,6.04,",,W",,,0.35,",,W,2400",0.0,"T,,W",0.0,",,W",29.0,"H,,S",41.0,",,W",26.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2020-01-19,15.88,",,W",,,0.03,",,W,2400",0.0,",,W",0.0,",,W",40.0,"H,,S",45.0,",,W",26.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2020-01-20,9.84,",,W",,,0.0,",,W,2400",0.0,",,W",0.0,",,W",29.0,"H,,S",36.0,",,W",23.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2020-01-21,5.82,",,W",,,0.0,",,W,2400",0.0,",,W",0.0,",,W",27.0,"H,,S",37.0,",,W",19.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2020-01-22,2.24,",,W",,,0.0,",,W,2400",0.0,",,W",0.0,",,W",30.0,"H,,S",42.0,",,W",19.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2020-01-23,1.57,",,W",,,0.0,",,W,2400",0.0,",,W",0.0,",,W",31.0,"H,,S",41.0,",,W",21.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2020-01-24,8.05,",,W",,,0.0,",,W,2400",0.0,",,W",0.0,",,W",39.0,"H,,S",51.0,",,W",28.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2020-01-25,9.62,",,W",,,1.49,",,W,2400",0.0,",,W",0.0,",,W",47.0,"H,,S",52.0,",,W",37.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2020-01-26,9.62,",,W",,,0.0,",,W,2400",0.0,",,W",0.0,",,W",42.0,"H,,S",48.0,",,W",33.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2020-01-27,9.84,",,W",,,0.0,",,W,2400",0.0,",,W",0.0,",,W",42.0,"H,,S",50.0,",,W",36.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2020-01-28,10.51,",,W",,,0.0,",,W,2400",0.0,",,W",0.0,",,W",42.0,"H,,S",45.0,",,W",36.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
