Unnamed: 0,STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,AWND_ATTRIBUTES,EVAP,EVAP_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,WESD,WESD_ATTRIBUTES,WESF,WESF_ATTRIBUTES,MXPN,MXPN_ATTRIBUTES,PGTM,PGTM_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT02,WT02_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT05,WT05_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT08,WT08_ATTRIBUTES,PSUN,PSUN_ATTRIBUTES,TSUN,TSUN_ATTRIBUTES
,USW00014822,"DETROIT CITY AIRPORT, MI US",42.40917,-83.01,190.8,2020-01-01,11.63,",,W",,,0.0,"T,,W,",,,,,,,38.0,",,W",26.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00014822,"DETROIT CITY AIRPORT, MI US",42.40917,-83.01,190.8,2020-01-02,12.3,",,W",,,0.0,",,W,",,,,,,,48.0,",,W",36.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00014822,"DETROIT CITY AIRPORT, MI US",42.40917,-83.01,190.8,2020-01-03,5.82,",,W",,,0.0,",,W,",,,,,,,45.0,",,W",38.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00014822,"DETROIT CITY AIRPORT, MI US",42.40917,-83.01,190.8,2020-01-04,6.93,",,W",,,0.0,"T,,W,",,,,,,,38.0,",,W",31.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00014822,"DETROIT CITY AIRPORT, MI US",42.40917,-83.01,190.8,2020-01-05,11.63,",,W",,,0.03,",,W,",,,,,,,39.0,",,W",30.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00014822,"DETROIT CITY AIRPORT, MI US",42.40917,-83.01,190.8,2020-01-06,12.3,",,W",,,0.0,",,W,",,,,,,,45.0,",,W",32.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00014822,"DETROIT CITY AIRPORT, MI US",42.40917,-83.01,190.8,2020-01-07,9.84,",,W",,,0.0,"T,,W,",,,,,,,43.0,",,W",28.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00014822,"DETROIT CITY AIRPORT, MI US",42.40917,-83.01,190.8,2020-01-08,9.17,",,W",,,0.0,"T,,W,",,,,,,,33.0,",,W",16.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00014822,"DETROIT CITY AIRPORT, MI US",42.40917,-83.01,190.8,2020-01-09,11.63,",,W",,,0.0,"T,,W,",,,,,,,48.0,",,W",16.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00014822,"DETROIT CITY AIRPORT, MI US",42.40917,-83.01,190.8,2020-01-10,9.4,",,W",,,0.18,",,W,",,,,,,,49.0,",,W",44.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
