Unnamed: 0,STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,AWND_ATTRIBUTES,EVAP,EVAP_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,WESD,WESD_ATTRIBUTES,WESF,WESF_ATTRIBUTES,MXPN,MXPN_ATTRIBUTES,PGTM,PGTM_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT02,WT02_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT05,WT05_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT08,WT08_ATTRIBUTES,PSUN,PSUN_ATTRIBUTES,TSUN,TSUN_ATTRIBUTES
,USW00024033,"BILLINGS INTERNATIONAL AIRPORT, MT US",45.8069,-108.5422,1091.5,2020-01-01,19.24,",,W",,,0.02,",,W,2400",0.0,"T,,W,0700",0.0,",,W,0700",40.0,"H,,S",50.0,",,W",36.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00024033,"BILLINGS INTERNATIONAL AIRPORT, MT US",45.8069,-108.5422,1091.5,2020-01-02,19.01,",,W",,,0.0,",,W,2400",0.0,",,W,0700",0.0,",,W,0700",40.0,"H,,S",47.0,",,W",25.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00024033,"BILLINGS INTERNATIONAL AIRPORT, MT US",45.8069,-108.5422,1091.5,2020-01-03,14.09,",,W",,,0.0,",,W,2400",0.0,",,W,0700",0.0,",,W,0700",32.0,"H,,S",48.0,",,W",26.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00024033,"BILLINGS INTERNATIONAL AIRPORT, MT US",45.8069,-108.5422,1091.5,2020-01-04,22.82,",,W",,,0.0,",,W,2400",0.0,",,W,0700",0.0,",,W,0700",45.0,"H,,S",56.0,",,W",33.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00024033,"BILLINGS INTERNATIONAL AIRPORT, MT US",45.8069,-108.5422,1091.5,2020-01-05,13.2,",,W",,,0.0,",,W,2400",0.0,",,W,0700",0.0,",,W,0700",34.0,"H,,S",39.0,",,W",26.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00024033,"BILLINGS INTERNATIONAL AIRPORT, MT US",45.8069,-108.5422,1091.5,2020-01-06,14.99,",,W",,,0.0,",,W,2400",0.0,",,W,0700",0.0,",,W,0700",33.0,"H,,S",41.0,",,W",25.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00024033,"BILLINGS INTERNATIONAL AIRPORT, MT US",45.8069,-108.5422,1091.5,2020-01-07,8.95,",,W",,,0.0,",,W,2400",0.0,",,W,0700",0.0,",,W,0700",36.0,"H,,S",40.0,",,W",27.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00024033,"BILLINGS INTERNATIONAL AIRPORT, MT US",45.8069,-108.5422,1091.5,2020-01-08,12.53,",,W",,,0.0,",,W,2400",0.0,",,W,0700",0.0,",,W,0700",34.0,"H,,S",50.0,",,W",22.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00024033,"BILLINGS INTERNATIONAL AIRPORT, MT US",45.8069,-108.5422,1091.5,2020-01-09,10.51,",,W",,,0.08,",,W,2400",1.2,",,W,0700",0.0,",,W,0700",28.0,"H,,S",33.0,",,W",12.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00024033,"BILLINGS INTERNATIONAL AIRPORT, MT US",45.8069,-108.5422,1091.5,2020-01-10,5.59,",,W",,,0.0,"T,,W,2400",0.1,",,W,0700",1.2,",,W,0700",12.0,"H,,S",26.0,",,W",1.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
