Unnamed: 0,STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,AWND_ATTRIBUTES,EVAP,EVAP_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,WESD,WESD_ATTRIBUTES,WESF,WESF_ATTRIBUTES,MXPN,MXPN_ATTRIBUTES,PGTM,PGTM_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT02,WT02_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT05,WT05_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT08,WT08_ATTRIBUTES,PSUN,PSUN_ATTRIBUTES,TSUN,TSUN_ATTRIBUTES
,USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",40.6825,-74.1694,2.1,2020-01-01,13.65,",,W",,,0.0,"T,,W,2400",0.0,"T,,W,2400",0.0,",,W,2400",40.0,"H,,S",41.0,",,W",29.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",40.6825,-74.1694,2.1,2020-01-02,7.38,",,W",,,0.0,",,W,2400",0.0,",,W,2400",0.0,",,W,2400",36.0,"H,,S",50.0,",,W",26.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",40.6825,-74.1694,2.1,2020-01-03,6.26,",,W",,,0.11,",,W,2400",0.0,",,W,2400",0.0,",,W,2400",45.0,"H,,S",48.0,",,W",44.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",40.6825,-74.1694,2.1,2020-01-04,5.82,",,W",,,0.21,",,W,2400",0.0,",,W,2400",0.0,",,W,2400",48.0,"H,,S",52.0,",,W",41.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",40.6825,-74.1694,2.1,2020-01-05,16.33,",,W",,,0.0,"T,,W,2400",0.0,"T,,W,2400",0.0,",,W,2400",42.0,"H,,S",45.0,",,W",35.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",40.6825,-74.1694,2.1,2020-01-06,10.29,",,W",,,0.03,",,W,2400",0.9,",,W,2400",1.2,",,W,2400",37.0,"H,,S",46.0,",,W",31.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",40.6825,-74.1694,2.1,2020-01-07,7.16,",,W",,,0.0,"T,,W,2400",0.0,"T,,W,2400",0.0,",,W,2400",39.0,"H,,S",44.0,",,W",33.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",40.6825,-74.1694,2.1,2020-01-08,17.0,",,W",,,0.0,"T,,W,2400",0.0,"T,,W,2400",0.0,",,W,2400",36.0,"H,,S",45.0,",,W",28.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",40.6825,-74.1694,2.1,2020-01-09,8.5,",,W",,,0.0,",,W,2400",0.0,",,W,2400",0.0,",,W,2400",29.0,"H,,S",34.0,",,W",23.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",40.6825,-74.1694,2.1,2020-01-10,8.5,",,W",,,0.0,",,W,2400",0.0,",,W,2400",0.0,",,W,2400",38.0,"H,,S",55.0,",,W",30.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",40.6825,-74.1694,2.1,2020-01-11,12.3,",,W",,,0.0,",,W,2400",0.0,",,W,2400",0.0,",,W,2400",58.0,"H,,S",70.0,",,W",48.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",40.6825,-74.1694,2.1,2020-01-12,19.69,",,W",,,0.04,",,W,2400",0.0,",,W,2400",0.0,",,W,2400",65.0,"H,,S",69.0,",,W",44.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",40.6825,-74.1694,2.1,2020-01-13,6.49,",,W",,,0.0,"T,,W,2400",0.0,",,W,2400",0.0,",,W,2400",43.0,"H,,S",46.0,",,W",35.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",40.6825,-74.1694,2.1,2020-01-14,4.47,",,W",,,0.02,",,W,2400",0.0,",,W,2400",0.0,",,W,2400",42.0,"H,,S",46.0,",,W",36.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",40.6825,-74.1694,2.1,2020-01-15,6.93,",,W",,,0.0,",,W,2400",0.0,",,W,2400",0.0,",,W,2400",45.0,"H,,S",53.0,",,W",41.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",40.6825,-74.1694,2.1,2020-01-16,16.78,",,W",,,0.05,",,W,2400",0.0,"T,,W,2400",0.0,",,W,2400",45.0,"H,,S",50.0,",,W",34.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",40.6825,-74.1694,2.1,2020-01-17,17.22,",,W",,,0.0,",,W,2400",0.0,",,W,2400",0.0,",,W,2400",30.0,"H,,S",34.0,",,W",21.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",40.6825,-74.1694,2.1,2020-01-18,7.83,",,W",,,0.31,",,W,2400",1.8,",,W,2400",0.0,",,W,2400",24.0,"H,,S",36.0,",,W",20.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",40.6825,-74.1694,2.1,2020-01-19,14.99,",,W",,,0.0,"T,,W,2400",0.0,",,W,2400",0.0,"T,,W,2400",38.0,"H,,S",45.0,",,W",28.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",40.6825,-74.1694,2.1,2020-01-20,15.21,",,W",,,0.0,",,W,2400",0.0,",,W,2400",0.0,",,W,2400",28.0,"H,,S",33.0,",,W",21.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",40.6825,-74.1694,2.1,2020-01-21,8.72,",,W",,,0.0,",,W,2400",0.0,",,W,2400",0.0,",,W,2400",26.0,"H,,S",35.0,",,W",20.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",40.6825,-74.1694,2.1,2020-01-22,3.8,",,W",,,0.0,",,W,2400",0.0,",,W,2400",0.0,",,W,2400",30.0,"H,,S",41.0,",,W",22.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",40.6825,-74.1694,2.1,2020-01-23,3.36,",,W",,,0.0,",,W,2400",0.0,",,W,2400",0.0,",,W,2400",35.0,"H,,S",47.0,",,W",24.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",40.6825,-74.1694,2.1,2020-01-24,4.7,",,W",,,0.0,",,W,2400",0.0,",,W,2400",0.0,",,W,2400",41.0,"H,,S",52.0,",,W",32.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",40.6825,-74.1694,2.1,2020-01-25,11.41,",,W",,,0.88,",,W,2400",0.0,",,W,2400",0.0,",,W,2400",44.0,"H,,S",52.0,",,W",39.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",40.6825,-74.1694,2.1,2020-01-26,10.74,",,W",,,0.0,",,W,2400",0.0,",,W,2400",0.0,",,W,2400",42.0,"H,,S",48.0,",,W",34.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",40.6825,-74.1694,2.1,2020-01-27,12.08,",,W",,,0.0,",,W,2400",0.0,",,W,2400",0.0,",,W,2400",40.0,"H,,S",47.0,",,W",32.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",40.6825,-74.1694,2.1,2020-01-28,14.76,",,W",,,0.0,",,W,2400",0.0,",,W,2400",0.0,",,W,2400",41.0,"H,,S",45.0,",,W",37.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",40.6825,-74.1694,2.1,2020-01-29,12.97,",,W",,,0.0,",,W,2400",0.0,",,W,2400",0.0,",,W,2400",38.0,"H,,S",42.0,",,W",27.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",40.6825,-74.1694,2.1,2020-01-30,6.93,",,W",,,0.0,",,W,2400",0.0,",,W,2400",0.0,",,W,2400",31.0,"H,,S",37.0,",,W",23.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",40.6825,-74.1694,2.1,2020-01-31,4.7,",,W",,,0.02,",,W,2400",0.0,",,W,2400",0.0,",,W,2400",36.0,"H,,S",44.0,",,W",29.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",40.6825,-74.1694,2.1,2020-02-01,4.25,",,W",,,0.0,"T,,W,2400",0.0,",,W,2400",0.0,",,W,2400",40.0,"H,,S",44.0,",,W",36.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",40.6825,-74.1694,2.1,2020-02-02,8.05,",,W",,,0.09,",,W,2400",0.0,"T,,W,2400",0.0,",,W,2400",40.0,"H,,S",44.0,",,W",35.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",40.6825,-74.1694,2.1,2020-02-03,6.26,",,W",,,0.0,",,W,2400",0.0,",,W,2400",0.0,",,W,2400",43.0,"H,,S",58.0,",,W",35.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",40.6825,-74.1694,2.1,2020-02-04,4.7,",,W",,,0.0,"T,,W,2400",0.0,",,W,2400",0.0,",,W,2400",49.0,"H,,S",59.0,",,W",41.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",40.6825,-74.1694,2.1,2020-02-05,10.07,",,W",,,0.02,",,W,2400",0.0,",,W,2400",0.0,",,W,2400",46.0,"H,,S",53.0,",,W",40.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",40.6825,-74.1694,2.1,2020-02-06,6.93,",,W",,,0.62,",,W,2400",0.0,",,W,2400",0.0,",,W,2400",40.0,"H,,S",42.0,",,W",36.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
