Unnamed: 0,STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,AWND_ATTRIBUTES,EVAP,EVAP_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,WESD,WESD_ATTRIBUTES,WESF,WESF_ATTRIBUTES,MXPN,MXPN_ATTRIBUTES,PGTM,PGTM_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT02,WT02_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT05,WT05_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT08,WT08_ATTRIBUTES,PSUN,PSUN_ATTRIBUTES,TSUN,TSUN_ATTRIBUTES
,USW00053123,"LAS VEGAS AIR TERMINAL, NV US",36.21167,-115.19583,671.5,2020-01-01,3.58,",,W",,,0.0,"T,,W",,,,,,,53.0,",,W",38.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00053123,"LAS VEGAS AIR TERMINAL, NV US",36.21167,-115.19583,671.5,2020-01-02,11.41,",,W",,,0.0,",,W",,,,,,,61.0,",,W",40.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00053123,"LAS VEGAS AIR TERMINAL, NV US",36.21167,-115.19583,671.5,2020-01-03,4.7,",,W",,,0.0,",,W",,,,,,,60.0,",,W",41.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00053123,"LAS VEGAS AIR TERMINAL, NV US",36.21167,-115.19583,671.5,2020-01-04,3.36,",,W",,,0.0,",,W",,,,,,,58.0,",,W",37.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00053123,"LAS VEGAS AIR TERMINAL, NV US",36.21167,-115.19583,671.5,2020-01-05,6.93,",,W",,,0.0,",,W",,,,,,,58.0,",,W",37.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00053123,"LAS VEGAS AIR TERMINAL, NV US",36.21167,-115.19583,671.5,2020-01-06,6.26,",,W",,,0.0,",,W",,,,,,,60.0,",,W",42.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00053123,"LAS VEGAS AIR TERMINAL, NV US",36.21167,-115.19583,671.5,2020-01-07,3.13,",,W",,,0.0,",,W",,,,,,,60.0,",,W",37.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00053123,"LAS VEGAS AIR TERMINAL, NV US",36.21167,-115.19583,671.5,2020-01-08,8.5,",,W",,,0.0,",,W",0.0,",,W",0.0,",,W",,,63.0,",,W",39.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00053123,"LAS VEGAS AIR TERMINAL, NV US",36.21167,-115.19583,671.5,2020-01-09,6.93,",,W",,,0.0,",,W",,,,,,,58.0,",,W",42.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00053123,"LAS VEGAS AIR TERMINAL, NV US",36.21167,-115.19583,671.5,2020-01-10,11.63,",,W",,,0.0,",,W",,,,,,,56.0,",,W",39.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00053123,"LAS VEGAS AIR TERMINAL, NV US",36.21167,-115.19583,671.5,2020-01-11,2.91,",,W",,,0.0,",,W",,,,,,,53.0,",,W",34.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00053123,"LAS VEGAS AIR TERMINAL, NV US",36.21167,-115.19583,671.5,2020-01-12,3.36,",,W",,,0.0,",,W",,,,,,,55.0,",,W",32.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00053123,"LAS VEGAS AIR TERMINAL, NV US",36.21167,-115.19583,671.5,2020-01-13,4.25,",,W",,,0.0,",,W",,,,,,,56.0,",,W",34.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00053123,"LAS VEGAS AIR TERMINAL, NV US",36.21167,-115.19583,671.5,2020-01-14,3.8,",,W",,,0.0,",,W",,,0.0,",,W",,,59.0,",,W",34.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00053123,"LAS VEGAS AIR TERMINAL, NV US",36.21167,-115.19583,671.5,2020-01-15,3.58,",,W",,,0.0,",,W",,,,,,,58.0,",,W",36.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00053123,"LAS VEGAS AIR TERMINAL, NV US",36.21167,-115.19583,671.5,2020-01-16,6.04,",,W",,,0.0,",,W",,,,,,,60.0,",,W",34.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00053123,"LAS VEGAS AIR TERMINAL, NV US",36.21167,-115.19583,671.5,2020-01-17,8.05,",,W",,,0.0,",,W",0.0,",,W",0.0,",,W",,,59.0,",,W",41.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00053123,"LAS VEGAS AIR TERMINAL, NV US",36.21167,-115.19583,671.5,2020-01-18,4.7,",,W",,,0.0,",,W",0.0,",,W",0.0,",,W",,,59.0,",,W",36.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00053123,"LAS VEGAS AIR TERMINAL, NV US",36.21167,-115.19583,671.5,2020-01-19,4.47,",,W",,,0.0,",,W",,,,,,,65.0,",,W",39.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00053123,"LAS VEGAS AIR TERMINAL, NV US",36.21167,-115.19583,671.5,2020-01-20,3.8,",,W",,,0.0,",,W",0.0,",,W",0.0,",,W",,,61.0,",,W",50.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00053123,"LAS VEGAS AIR TERMINAL, NV US",36.21167,-115.19583,671.5,2020-01-21,4.92,",,W",,,0.0,",,W",,,,,,,62.0,",,W",46.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00053123,"LAS VEGAS AIR TERMINAL, NV US",36.21167,-115.19583,671.5,2020-01-22,3.8,",,W",,,0.0,",,W",,,,,,,61.0,",,W",41.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00053123,"LAS VEGAS AIR TERMINAL, NV US",36.21167,-115.19583,671.5,2020-01-23,3.58,",,W",,,0.0,",,W",,,,,,,67.0,",,W",43.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00053123,"LAS VEGAS AIR TERMINAL, NV US",36.21167,-115.19583,671.5,2020-01-24,2.46,",,W",,,0.0,",,W",,,,,,,66.0,",,W",43.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00053123,"LAS VEGAS AIR TERMINAL, NV US",36.21167,-115.19583,671.5,2020-01-25,4.25,",,W",,,0.0,",,W",0.0,",,W",0.0,",,W",,,67.0,",,W",43.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00053123,"LAS VEGAS AIR TERMINAL, NV US",36.21167,-115.19583,671.5,2020-01-26,4.92,",,W",,,0.0,",,W",,,,,,,65.0,",,W",43.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00053123,"LAS VEGAS AIR TERMINAL, NV US",36.21167,-115.19583,671.5,2020-01-27,12.08,",,W",,,0.0,",,W",,,,,,,69.0,",,W",49.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00053123,"LAS VEGAS AIR TERMINAL, NV US",36.21167,-115.19583,671.5,2020-01-28,3.8,",,W",,,0.0,",,W",,,,,,,63.0,",,W",44.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00053123,"LAS VEGAS AIR TERMINAL, NV US",36.21167,-115.19583,671.5,2020-01-29,12.53,",,W",,,0.0,"T,,W",,,,,,,65.0,",,W",46.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00053123,"LAS VEGAS AIR TERMINAL, NV US",36.21167,-115.19583,671.5,2020-01-30,5.82,",,W",,,0.0,",,W",,,,,,,64.0,",,W",43.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00053123,"LAS VEGAS AIR TERMINAL, NV US",36.21167,-115.19583,671.5,2020-01-31,3.13,",,W",,,0.0,",,W",0.0,",,W",0.0,",,W",,,65.0,",,W",41.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00053123,"LAS VEGAS AIR TERMINAL, NV US",36.21167,-115.19583,671.5,2020-02-01,4.03,",,W",,,0.0,",,W",0.0,",,W",0.0,",,W",,,70.0,",,W",42.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00053123,"LAS VEGAS AIR TERMINAL, NV US",36.21167,-115.19583,671.5,2020-02-02,11.63,",,W",,,0.0,",,W",,,,,,,76.0,",,W",41.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00053123,"LAS VEGAS AIR TERMINAL, NV US",36.21167,-115.19583,671.5,2020-02-03,21.03,",,W",,,0.0,",,W",0.0,",,W",0.0,",,W",,,52.0,",,W",38.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00053123,"LAS VEGAS AIR TERMINAL, NV US",36.21167,-115.19583,671.5,2020-02-04,15.21,",,W",,,0.0,",,W",,,,,,,50.0,",,W",36.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00053123,"LAS VEGAS AIR TERMINAL, NV US",36.21167,-115.19583,671.5,2020-02-05,6.71,",,W",,,0.0,",,W",,,,,,,51.0,",,W",34.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00053123,"LAS VEGAS AIR TERMINAL, NV US",36.21167,-115.19583,671.5,2020-02-06,4.47,",,W",,,0.0,",,W",,,,,,,63.0,",,W",36.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00053123,"LAS VEGAS AIR TERMINAL, NV US",36.21167,-115.19583,671.5,2020-02-07,5.14,",,W",,,0.0,",,W",,,,,,,68.0,",,W",41.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00053123,"LAS VEGAS AIR TERMINAL, NV US",36.21167,-115.19583,671.5,2020-02-08,4.03,",,W",,,0.0,",,W",,,,,,,68.0,",,W",40.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00053123,"LAS VEGAS AIR TERMINAL, NV US",36.21167,-115.19583,671.5,2020-02-09,17.45,",,W",,,0.01,",,W",,,,,,,57.0,",,W",46.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00053123,"LAS VEGAS AIR TERMINAL, NV US",36.21167,-115.19583,671.5,2020-02-10,16.11,",,W",,,0.02,",,W",,,,,,,65.0,",,W",45.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00053123,"LAS VEGAS AIR TERMINAL, NV US",36.21167,-115.19583,671.5,2020-02-11,13.42,",,W",,,0.0,",,W",,,,,,,61.0,",,W",43.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00053123,"LAS VEGAS AIR TERMINAL, NV US",36.21167,-115.19583,671.5,2020-02-12,3.8,",,W",,,0.0,",,W",,,,,,,63.0,",,W",38.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00053123,"LAS VEGAS AIR TERMINAL, NV US",36.21167,-115.19583,671.5,2020-02-13,3.8,",,W",,,0.0,",,W",,,,,,,64.0,",,W",37.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00053123,"LAS VEGAS AIR TERMINAL, NV US",36.21167,-115.19583,671.5,2020-02-14,3.13,",,W",,,0.0,",,W",,,,,,,66.0,",,W",38.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00053123,"LAS VEGAS AIR TERMINAL, NV US",36.21167,-115.19583,671.5,2020-02-15,4.92,",,W",,,0.0,",,W",,,,,,,66.0,",,W",41.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00053123,"LAS VEGAS AIR TERMINAL, NV US",36.21167,-115.19583,671.5,2020-02-16,3.58,",,W",,,0.0,",,W",,,,,,,69.0,",,W",44.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00053123,"LAS VEGAS AIR TERMINAL, NV US",36.21167,-115.19583,671.5,2020-02-17,7.61,",,W",,,0.0,",,W",,,,,,,73.0,",,W",50.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00053123,"LAS VEGAS AIR TERMINAL, NV US",36.21167,-115.19583,671.5,2020-02-18,6.26,",,W",,,0.0,",,W",,,,,,,62.0,",,W",45.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00053123,"LAS VEGAS AIR TERMINAL, NV US",36.21167,-115.19583,671.5,2020-02-19,2.91,",,W",,,0.0,",,W",,,,,,,66.0,",,W",40.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00053123,"LAS VEGAS AIR TERMINAL, NV US",36.21167,-115.19583,671.5,2020-02-20,5.14,",,W",,,0.0,",,W",,,,,,,66.0,",,W",41.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00053123,"LAS VEGAS AIR TERMINAL, NV US",36.21167,-115.19583,671.5,2020-02-21,4.25,",,W",,,0.0,",,W",,,,,,,70.0,",,W",42.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00053123,"LAS VEGAS AIR TERMINAL, NV US",36.21167,-115.19583,671.5,2020-02-22,5.59,",,W",,,0.36,",,W",,,,,,,60.0,",,W",50.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00053123,"LAS VEGAS AIR TERMINAL, NV US",36.21167,-115.19583,671.5,2020-02-23,8.05,",,W",,,0.01,",,W",,,,,,,70.0,",,W",49.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00053123,"LAS VEGAS AIR TERMINAL, NV US",36.21167,-115.19583,671.5,2020-02-24,7.38,",,W",,,0.0,",,W",,,,,,,72.0,",,W",47.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00053123,"LAS VEGAS AIR TERMINAL, NV US",36.21167,-115.19583,671.5,2020-02-25,11.86,",,W",,,0.0,",,W",,,,,,,59.0,",,W",47.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00053123,"LAS VEGAS AIR TERMINAL, NV US",36.21167,-115.19583,671.5,2020-02-26,2.68,",,W",,,0.0,",,W",,,,,,,63.0,",,W",38.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00053123,"LAS VEGAS AIR TERMINAL, NV US",36.21167,-115.19583,671.5,2020-02-27,4.25,",,W",,,0.0,",,W",,,,,,,71.0,",,W",41.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00053123,"LAS VEGAS AIR TERMINAL, NV US",36.21167,-115.19583,671.5,2020-02-28,3.36,",,W",,,0.0,",,W",,,,,,,70.0,",,W",49.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00053123,"LAS VEGAS AIR TERMINAL, NV US",36.21167,-115.19583,671.5,2020-02-29,4.47,",,W",,,0.0,",,W",0.0,",,W",0.0,",,W",,,67.0,",,W",47.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00053123,"LAS VEGAS AIR TERMINAL, NV US",36.21167,-115.19583,671.5,2020-03-01,16.78,",,W",,,0.28,",,W",,,,,,,67.0,",,W",47.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00053123,"LAS VEGAS AIR TERMINAL, NV US",36.21167,-115.19583,671.5,2020-03-02,16.11,",,W",,,0.06,",,W",,,,,,,63.0,",,W",45.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00053123,"LAS VEGAS AIR TERMINAL, NV US",36.21167,-115.19583,671.5,2020-03-03,13.42,",,W",,,0.0,",,W",,,,,,,73.0,",,W",52.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00053123,"LAS VEGAS AIR TERMINAL, NV US",36.21167,-115.19583,671.5,2020-03-04,4.25,",,W",,,0.0,",,W",,,,,,,73.0,",,W",50.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00053123,"LAS VEGAS AIR TERMINAL, NV US",36.21167,-115.19583,671.5,2020-03-05,4.25,",,W",,,0.0,",,W",,,,,,,76.0,",,W",48.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00053123,"LAS VEGAS AIR TERMINAL, NV US",36.21167,-115.19583,671.5,2020-03-06,5.82,",,W",,,0.0,",,W",,,,,,,77.0,",,W",51.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00053123,"LAS VEGAS AIR TERMINAL, NV US",36.21167,-115.19583,671.5,2020-03-07,9.62,",,W",,,0.0,",,W",0.0,",,W",0.0,",,W",,,75.0,",,W",53.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00053123,"LAS VEGAS AIR TERMINAL, NV US",36.21167,-115.19583,671.5,2020-03-08,12.53,",,W",,,0.0,",,W",0.0,",,W",0.0,",,W",,,70.0,",,W",55.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00053123,"LAS VEGAS AIR TERMINAL, NV US",36.21167,-115.19583,671.5,2020-03-09,6.49,",,W",,,0.0,",,W",0.0,",,W",0.0,",,W",,,70.0,",,W",50.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00053123,"LAS VEGAS AIR TERMINAL, NV US",36.21167,-115.19583,671.5,2020-03-10,5.14,",,W",,,0.49,",,W",0.0,",,W",0.0,",,W",,,60.0,",,W",53.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00053123,"LAS VEGAS AIR TERMINAL, NV US",36.21167,-115.19583,671.5,2020-03-11,4.03,",,W",,,0.08,",,W",0.0,",,W",0.0,",,W",,,68.0,",,W",54.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00053123,"LAS VEGAS AIR TERMINAL, NV US",36.21167,-115.19583,671.5,2020-03-12,7.16,",,W",,,0.84,",,W",,,,,,,71.0,",,W",52.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00053123,"LAS VEGAS AIR TERMINAL, NV US",36.21167,-115.19583,671.5,2020-03-13,12.3,",,W",,,1.1,",,W",0.0,",,W",,,,,61.0,",,W",52.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00053123,"LAS VEGAS AIR TERMINAL, NV US",36.21167,-115.19583,671.5,2020-03-14,13.87,",,W",,,0.0,",,W",,,,,,,69.0,",,W",54.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00053123,"LAS VEGAS AIR TERMINAL, NV US",36.21167,-115.19583,671.5,2020-03-15,10.51,",,W",,,0.0,",,W",,,,,,,69.0,",,W",50.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00053123,"LAS VEGAS AIR TERMINAL, NV US",36.21167,-115.19583,671.5,2020-03-16,11.18,",,W",,,0.0,",,W",,,,,,,67.0,",,W",48.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00053123,"LAS VEGAS AIR TERMINAL, NV US",36.21167,-115.19583,671.5,2020-03-17,9.84,",,W",,,0.0,",,W",,,,,,,61.0,",,W",50.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00053123,"LAS VEGAS AIR TERMINAL, NV US",36.21167,-115.19583,671.5,2020-03-18,4.25,",,W",,,0.0,",,W",,,,,,,58.0,",,W",46.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00053123,"LAS VEGAS AIR TERMINAL, NV US",36.21167,-115.19583,671.5,2020-03-19,8.28,",,W",,,0.03,",,W",,,,,,,60.0,",,W",43.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00053123,"LAS VEGAS AIR TERMINAL, NV US",36.21167,-115.19583,671.5,2020-03-20,4.92,",,W",,,0.0,"T,,W",,,0.0,",,W",,,59.0,",,W",45.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00053123,"LAS VEGAS AIR TERMINAL, NV US",36.21167,-115.19583,671.5,2020-03-21,4.25,",,W",,,0.0,",,W",0.0,",,W",0.0,",,W",,,65.0,",,W",49.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00053123,"LAS VEGAS AIR TERMINAL, NV US",36.21167,-115.19583,671.5,2020-03-22,4.7,",,W",,,0.0,",,W",,,,,,,69.0,",,W",48.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00053123,"LAS VEGAS AIR TERMINAL, NV US",36.21167,-115.19583,671.5,2020-03-23,8.5,",,W",,,0.0,"T,,W",,,,,,,67.0,",,W",52.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
