Unnamed: 0,STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,AWND_ATTRIBUTES,EVAP,EVAP_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,WESD,WESD_ATTRIBUTES,WESF,WESF_ATTRIBUTES,MXPN,MXPN_ATTRIBUTES,PGTM,PGTM_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT02,WT02_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT05,WT05_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT08,WT08_ATTRIBUTES,PSUN,PSUN_ATTRIBUTES,TSUN,TSUN_ATTRIBUTES
,USW00003954,"OKLAHOMA CITY WILEY POST AIRPORT, OK US",35.53417,-97.64694,395.3,2020-01-01,20.58,",,W",,,0.0,",,W",0.0,",,W",0.0,",,W",,,58.0,",,W",34.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00003954,"OKLAHOMA CITY WILEY POST AIRPORT, OK US",35.53417,-97.64694,395.3,2020-01-02,9.62,",,W",,,0.0,",,W",0.0,",,W",0.0,",,W",,,59.0,",,W",45.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00003954,"OKLAHOMA CITY WILEY POST AIRPORT, OK US",35.53417,-97.64694,395.3,2020-01-03,11.41,",,W",,,0.0,",,W",0.0,",,W",0.0,",,W",,,54.0,",,W",34.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00003954,"OKLAHOMA CITY WILEY POST AIRPORT, OK US",35.53417,-97.64694,395.3,2020-01-04,7.61,",,W",,,0.0,",,W",0.0,",,W",0.0,",,W",,,55.0,",,W",26.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00003954,"OKLAHOMA CITY WILEY POST AIRPORT, OK US",35.53417,-97.64694,395.3,2020-01-05,12.75,",,W",,,0.0,",,W",0.0,",,W",0.0,",,W",,,61.0,",,W",34.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00003954,"OKLAHOMA CITY WILEY POST AIRPORT, OK US",35.53417,-97.64694,395.3,2020-01-06,6.71,",,W",,,0.0,",,W",0.0,",,W",0.0,",,W",,,56.0,",,W",30.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00003954,"OKLAHOMA CITY WILEY POST AIRPORT, OK US",35.53417,-97.64694,395.3,2020-01-07,8.72,",,W",,,0.0,",,W",0.0,",,W",0.0,",,W",,,62.0,",,W",24.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00003954,"OKLAHOMA CITY WILEY POST AIRPORT, OK US",35.53417,-97.64694,395.3,2020-01-08,20.36,",,W",,,0.0,",,W",0.0,",,W",0.0,",,W",,,65.0,",,W",37.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00003954,"OKLAHOMA CITY WILEY POST AIRPORT, OK US",35.53417,-97.64694,395.3,2020-01-09,18.79,",,W",,,0.0,",,W",0.0,",,W",0.0,",,W",,,70.0,",,W",54.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00003954,"OKLAHOMA CITY WILEY POST AIRPORT, OK US",35.53417,-97.64694,395.3,2020-01-10,20.36,",,W",,,0.05,",,W",0.0,",,W",0.0,",,W",,,73.0,",,W",29.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00003954,"OKLAHOMA CITY WILEY POST AIRPORT, OK US",35.53417,-97.64694,395.3,2020-01-11,13.2,",,W",,,0.0,"T,,W",0.0,"T,,W",0.0,",,W",,,38.0,",,W",22.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00003954,"OKLAHOMA CITY WILEY POST AIRPORT, OK US",35.53417,-97.64694,395.3,2020-01-12,16.33,",,W",,,0.0,",,W",0.0,",,W",0.0,",,W",,,58.0,",,W",31.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00003954,"OKLAHOMA CITY WILEY POST AIRPORT, OK US",35.53417,-97.64694,395.3,2020-01-13,16.55,",,W",,,0.0,"T,,W",,,0.0,",,W",,,57.0,",,W",38.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00003954,"OKLAHOMA CITY WILEY POST AIRPORT, OK US",35.53417,-97.64694,395.3,2020-01-14,12.53,",,W",,,0.0,",,W",0.0,",,W",0.0,",,W",,,69.0,",,W",52.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00003954,"OKLAHOMA CITY WILEY POST AIRPORT, OK US",35.53417,-97.64694,395.3,2020-01-15,15.66,",,W",,,0.0,",,W",0.0,",,W",0.0,",,W",,,58.0,",,W",39.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00003954,"OKLAHOMA CITY WILEY POST AIRPORT, OK US",35.53417,-97.64694,395.3,2020-01-16,14.76,",,W",,,0.42,",,W",0.0,",,W",0.0,",,W",,,39.0,",,W",29.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00003954,"OKLAHOMA CITY WILEY POST AIRPORT, OK US",35.53417,-97.64694,395.3,2020-01-17,14.09,",,W",,,1.07,",,W",0.0,",,W",0.0,",,W",,,49.0,",,W",36.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00003954,"OKLAHOMA CITY WILEY POST AIRPORT, OK US",35.53417,-97.64694,395.3,2020-01-18,14.32,",,W",,,0.0,",,W",0.0,",,W",0.0,",,W",,,50.0,",,W",29.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00003954,"OKLAHOMA CITY WILEY POST AIRPORT, OK US",35.53417,-97.64694,395.3,2020-01-19,5.37,",,W",,,0.0,",,W",0.0,",,W",0.0,",,W",,,53.0,",,W",24.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00003954,"OKLAHOMA CITY WILEY POST AIRPORT, OK US",35.53417,-97.64694,395.3,2020-01-20,6.93,",,W",,,0.0,",,W",0.0,",,W",0.0,",,W",,,53.0,",,W",23.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00003954,"OKLAHOMA CITY WILEY POST AIRPORT, OK US",35.53417,-97.64694,395.3,2020-01-21,12.3,",,W",,,0.08,",,W",,,0.0,",,W",,,46.0,",,W",26.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00003954,"OKLAHOMA CITY WILEY POST AIRPORT, OK US",35.53417,-97.64694,395.3,2020-01-22,17.67,",,W",,,0.17,",,W",,,0.0,",,W",,,40.0,",,W",35.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00003954,"OKLAHOMA CITY WILEY POST AIRPORT, OK US",35.53417,-97.64694,395.3,2020-01-23,11.86,",,W",,,0.0,",,W",0.0,",,W",0.0,",,W",,,56.0,",,W",37.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00003954,"OKLAHOMA CITY WILEY POST AIRPORT, OK US",35.53417,-97.64694,395.3,2020-01-24,9.62,",,W",,,0.0,",,W",0.0,",,W",0.0,",,W",,,51.0,",,W",35.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00003954,"OKLAHOMA CITY WILEY POST AIRPORT, OK US",35.53417,-97.64694,395.3,2020-01-25,8.95,",,W",,,0.0,",,W",0.0,",,W",0.0,",,W",,,64.0,",,W",34.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00003954,"OKLAHOMA CITY WILEY POST AIRPORT, OK US",35.53417,-97.64694,395.3,2020-01-26,4.03,",,W",,,0.0,",,W",0.0,",,W",0.0,",,W",,,61.0,",,W",35.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00003954,"OKLAHOMA CITY WILEY POST AIRPORT, OK US",35.53417,-97.64694,395.3,2020-01-27,8.95,",,W",,,0.0,",,W",0.0,",,W",0.0,",,W",,,68.0,",,W",32.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00003954,"OKLAHOMA CITY WILEY POST AIRPORT, OK US",35.53417,-97.64694,395.3,2020-01-28,15.88,",,W",,,1.02,",,W",0.0,"T,,W",0.0,",,W",,,50.0,",,W",34.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00003954,"OKLAHOMA CITY WILEY POST AIRPORT, OK US",35.53417,-97.64694,395.3,2020-01-29,12.08,",,W",,,0.0,",,W",0.0,",,W",0.0,",,W",,,40.0,",,W",34.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00003954,"OKLAHOMA CITY WILEY POST AIRPORT, OK US",35.53417,-97.64694,395.3,2020-01-30,2.24,",,W",,,0.0,",,W",0.0,",,W",0.0,",,W",,,41.0,",,W",28.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00003954,"OKLAHOMA CITY WILEY POST AIRPORT, OK US",35.53417,-97.64694,395.3,2020-01-31,6.93,",,W",,,0.0,",,W",0.0,",,W",0.0,",,W",,,52.0,",,W",29.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00003954,"OKLAHOMA CITY WILEY POST AIRPORT, OK US",35.53417,-97.64694,395.3,2020-02-01,7.61,",,W",,,0.0,",,W",0.0,",,W",0.0,",,W",,,65.0,",,W",26.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00003954,"OKLAHOMA CITY WILEY POST AIRPORT, OK US",35.53417,-97.64694,395.3,2020-02-02,12.3,",,W",,,0.0,",,W",0.0,",,W",0.0,",,W",,,77.0,",,W",40.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00003954,"OKLAHOMA CITY WILEY POST AIRPORT, OK US",35.53417,-97.64694,395.3,2020-02-03,18.34,",,W",,,0.0,",,W",0.0,",,W",0.0,",,W",,,69.0,",,W",38.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00003954,"OKLAHOMA CITY WILEY POST AIRPORT, OK US",35.53417,-97.64694,395.3,2020-02-04,16.55,",,W",,,0.0,"T,,W",0.0,"T,,W",0.0,",,W",,,38.0,",,W",30.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00003954,"OKLAHOMA CITY WILEY POST AIRPORT, OK US",35.53417,-97.64694,395.3,2020-02-05,13.2,",,W",,,,,,,0.0,",,W",,,32.0,",,W",23.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00003954,"OKLAHOMA CITY WILEY POST AIRPORT, OK US",35.53417,-97.64694,395.3,2020-02-06,6.93,",,W",,,0.0,",,W",0.0,",,W",0.0,",,W",,,40.0,",,W",12.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00003954,"OKLAHOMA CITY WILEY POST AIRPORT, OK US",35.53417,-97.64694,395.3,2020-02-07,8.05,",,W",,,0.0,",,W",0.0,",,W",0.0,",,W",,,51.0,",,W",27.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00003954,"OKLAHOMA CITY WILEY POST AIRPORT, OK US",35.53417,-97.64694,395.3,2020-02-08,10.51,",,W",,,0.0,",,W",0.0,",,W",0.0,",,W",,,60.0,",,W",27.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00003954,"OKLAHOMA CITY WILEY POST AIRPORT, OK US",35.53417,-97.64694,395.3,2020-02-09,19.01,",,W",,,0.0,"T,,W",,,0.0,",,W",,,71.0,",,W",37.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
