Unnamed: 0,STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,AWND_ATTRIBUTES,EVAP,EVAP_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,WESD,WESD_ATTRIBUTES,WESF,WESF_ATTRIBUTES,MXPN,MXPN_ATTRIBUTES,PGTM,PGTM_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT02,WT02_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT05,WT05_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT08,WT08_ATTRIBUTES,PSUN,PSUN_ATTRIBUTES,TSUN,TSUN_ATTRIBUTES
,USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",45.551109999999994,-122.40888999999999,8.8,2020-01-01,10.07,",,W",,,0.09,",,W,",,,,,,,57.0,",,W",47.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",45.551109999999994,-122.40888999999999,8.8,2020-01-02,4.03,",,W",,,0.05,",,W,",,,,,,,54.0,",,W",44.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",45.551109999999994,-122.40888999999999,8.8,2020-01-03,6.04,",,W",,,0.08,",,W,",,,,,,,56.0,",,W",41.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",45.551109999999994,-122.40888999999999,8.8,2020-01-04,7.16,",,W",,,0.39,",,W,",,,,,,,50.0,",,W",42.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",45.551109999999994,-122.40888999999999,8.8,2020-01-05,7.83,",,W",,,0.33,",,W,",,,,,,,50.0,",,W",41.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",45.551109999999994,-122.40888999999999,8.8,2020-01-06,12.75,",,W",,,0.17,",,W,",,,,,,,54.0,",,W",45.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",45.551109999999994,-122.40888999999999,8.8,2020-01-07,10.74,",,W",,,0.25,",,W,",,,,,,,59.0,",,W",48.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",45.551109999999994,-122.40888999999999,8.8,2020-01-08,6.71,",,W",,,0.2,",,W,",,,,,,,49.0,",,W",38.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",45.551109999999994,-122.40888999999999,8.8,2020-01-09,2.24,",,W",,,0.05,",,W,",,,,,,,42.0,",,W",36.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",45.551109999999994,-122.40888999999999,8.8,2020-01-10,9.17,",,W",,,0.26,",,W,",,,,,,,49.0,",,W",39.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",45.551109999999994,-122.40888999999999,8.8,2020-01-11,13.65,",,W",,,0.26,",,W,",,,,,,,48.0,",,W",43.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",45.551109999999994,-122.40888999999999,8.8,2020-01-12,12.08,",,W",,,0.28,",,W,",,,,,,,48.0,",,W",40.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",45.551109999999994,-122.40888999999999,8.8,2020-01-13,6.71,",,W",,,0.18,",,W,",,,,,,,41.0,",,W",37.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
