Unnamed: 0,STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,AWND_ATTRIBUTES,EVAP,EVAP_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,WESD,WESD_ATTRIBUTES,WESF,WESF_ATTRIBUTES,MXPN,MXPN_ATTRIBUTES,PGTM,PGTM_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT02,WT02_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT05,WT05_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT08,WT08_ATTRIBUTES,PSUN,PSUN_ATTRIBUTES,TSUN,TSUN_ATTRIBUTES
,USW00053867,"COLUMBIA OWENS DOWNTOWN AIRPORT, SC US",33.97056,-80.99583,64.6,2020-01-01,4.47,",,W",,,0.0,",,W",,,,,,,59.0,",,W",36.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00053867,"COLUMBIA OWENS DOWNTOWN AIRPORT, SC US",33.97056,-80.99583,64.6,2020-01-02,1.57,",,W",,,0.03,",,W",,,,,,,57.0,",,W",42.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00053867,"COLUMBIA OWENS DOWNTOWN AIRPORT, SC US",33.97056,-80.99583,64.6,2020-01-03,5.14,",,W",,,1.22,",,W",,,,,,,77.0,",,W",52.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00053867,"COLUMBIA OWENS DOWNTOWN AIRPORT, SC US",33.97056,-80.99583,64.6,2020-01-04,10.07,",,W",,,0.21,",,W",,,,,,,67.0,",,W",46.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00053867,"COLUMBIA OWENS DOWNTOWN AIRPORT, SC US",33.97056,-80.99583,64.6,2020-01-05,4.92,",,W",,,0.0,",,W",,,,,,,57.0,",,W",36.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00053867,"COLUMBIA OWENS DOWNTOWN AIRPORT, SC US",33.97056,-80.99583,64.6,2020-01-06,1.12,",,W",,,0.0,",,W",,,,,,,63.0,",,W",36.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00053867,"COLUMBIA OWENS DOWNTOWN AIRPORT, SC US",33.97056,-80.99583,64.6,2020-01-07,5.14,",,W",,,0.03,",,W",,,,,,,63.0,",,W",39.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00053867,"COLUMBIA OWENS DOWNTOWN AIRPORT, SC US",33.97056,-80.99583,64.6,2020-01-08,2.68,",,W",,,0.0,",,W",,,,,,,63.0,",,W",31.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00053867,"COLUMBIA OWENS DOWNTOWN AIRPORT, SC US",33.97056,-80.99583,64.6,2020-01-09,2.46,",,W",,,0.0,",,W",,,,,,,63.0,",,W",33.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00053867,"COLUMBIA OWENS DOWNTOWN AIRPORT, SC US",33.97056,-80.99583,64.6,2020-01-10,1.34,",,W",,,0.01,",,W",,,,,,,65.0,",,W",50.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00053867,"COLUMBIA OWENS DOWNTOWN AIRPORT, SC US",33.97056,-80.99583,64.6,2020-01-11,7.38,",,W",,,0.13,",,W",,,,,,,75.0,",,W",56.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00053867,"COLUMBIA OWENS DOWNTOWN AIRPORT, SC US",33.97056,-80.99583,64.6,2020-01-12,2.01,",,W",,,1.69,",,W",,,,,,,70.0,",,W",64.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00053867,"COLUMBIA OWENS DOWNTOWN AIRPORT, SC US",33.97056,-80.99583,64.6,2020-01-13,1.57,",,W",,,0.3,",,W",,,,,,,72.0,",,W",65.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
