Unnamed: 0,STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,AWND_ATTRIBUTES,EVAP,EVAP_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,WESD,WESD_ATTRIBUTES,WESF,WESF_ATTRIBUTES,MXPN,MXPN_ATTRIBUTES,PGTM,PGTM_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT02,WT02_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT05,WT05_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT08,WT08_ATTRIBUTES,PSUN,PSUN_ATTRIBUTES,TSUN,TSUN_ATTRIBUTES
,USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",35.0564,-89.9865,77.4,2020-01-01,7.61,",,W",,,0.0,",,W,2400",0.0,",,W",0.0,",,W",43.0,"H,,S",55.0,",,W",31.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",35.0564,-89.9865,77.4,2020-01-02,6.49,",,W",,,1.35,",,W,2400",0.0,",,W",0.0,",,W",51.0,"H,,S",56.0,",,W",47.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",35.0564,-89.9865,77.4,2020-01-03,8.05,",,W",,,0.28,",,W,2400",0.0,",,W",0.0,",,W",57.0,"H,,S",60.0,",,W",49.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",35.0564,-89.9865,77.4,2020-01-04,9.4,",,W",,,0.0,",,W,2400",0.0,",,W",0.0,",,W",45.0,"H,,S",49.0,",,W",34.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",35.0564,-89.9865,77.4,2020-01-05,8.05,",,W",,,0.0,",,W,2400",0.0,",,W",0.0,",,W",43.0,"H,,S",62.0,",,W",33.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",35.0564,-89.9865,77.4,2020-01-06,7.16,",,W",,,0.0,",,W,2400",0.0,",,W",0.0,",,W",49.0,"H,,S",61.0,",,W",37.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",35.0564,-89.9865,77.4,2020-01-07,7.61,",,W",,,0.0,",,W,2400",0.0,",,W",0.0,",,W",46.0,"H,,S",56.0,",,W",37.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",35.0564,-89.9865,77.4,2020-01-08,6.93,",,W",,,0.0,",,W,2400",0.0,",,W",0.0,",,W",47.0,"H,,S",63.0,",,W",34.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",35.0564,-89.9865,77.4,2020-01-09,14.54,",,W",,,0.01,",,W,2400",0.0,",,W",0.0,",,W",54.0,"H,,S",65.0,",,W",45.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",35.0564,-89.9865,77.4,2020-01-10,18.12,",,W",,,0.02,",,W,2400",0.0,",,W",0.0,",,W",63.0,"H,,S",69.0,",,W",60.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",35.0564,-89.9865,77.4,2020-01-11,11.41,",,W",,,1.8,",,W,2400",0.0,",,W",0.0,",,W",60.0,"H,,S",72.0,",,W",38.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",35.0564,-89.9865,77.4,2020-01-12,4.03,",,W",,,0.01,",,W,2400",0.0,",,W",0.0,",,W",39.0,"H,,S",44.0,",,W",36.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",35.0564,-89.9865,77.4,2020-01-13,4.47,",,W",,,0.0,"T,,W,2400",0.0,",,W",0.0,",,W",42.0,"H,,S",55.0,",,W",35.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",35.0564,-89.9865,77.4,2020-01-14,4.7,",,W",,,0.08,",,W,2400",0.0,",,W",0.0,",,W",56.0,"H,,S",66.0,",,W",50.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",35.0564,-89.9865,77.4,2020-01-15,8.95,",,W",,,0.91,",,W,2400",0.0,",,W",0.0,",,W",63.0,"H,,S",69.0,",,W",59.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",35.0564,-89.9865,77.4,2020-01-16,14.76,",,W",,,0.0,",,W,2400",0.0,",,W",0.0,",,W",54.0,"H,,S",60.0,",,W",41.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
