Unnamed: 0,STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,AWND_ATTRIBUTES,EVAP,EVAP_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,WESD,WESD_ATTRIBUTES,WESF,WESF_ATTRIBUTES,MXPN,MXPN_ATTRIBUTES,PGTM,PGTM_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT02,WT02_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT05,WT05_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT08,WT08_ATTRIBUTES,PSUN,PSUN_ATTRIBUTES,TSUN,TSUN_ATTRIBUTES
,USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",29.63806,-95.28194,13.4,2020-01-01,7.61,",,W",,,0.27,",,W,2400",0.0,",,H",0.0,",,H",56.0,"H,,S",61.0,",,W",52.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",29.63806,-95.28194,13.4,2020-01-02,5.14,",,W",,,0.04,",,W,2400",0.0,",,H",0.0,",,H",61.0,"H,,S",66.0,",,W",59.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",29.63806,-95.28194,13.4,2020-01-03,8.5,",,W",,,0.0,",,W,2400",0.0,",,H",0.0,",,H",62.0,"H,,S",70.0,",,W",53.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",29.63806,-95.28194,13.4,2020-01-04,6.04,",,W",,,0.0,",,W,2400",0.0,",,H",0.0,",,H",56.0,"H,,S",69.0,",,W",44.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",29.63806,-95.28194,13.4,2020-01-05,7.38,",,W",,,0.0,",,W,2400",0.0,",,H",0.0,",,H",57.0,"H,,S",75.0,",,W",44.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",29.63806,-95.28194,13.4,2020-01-06,5.82,",,W",,,0.0,",,W,2400",0.0,",,H",0.0,",,H",61.0,"H,,S",76.0,",,W",51.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",29.63806,-95.28194,13.4,2020-01-07,7.61,",,W",,,0.0,",,W,2400",0.0,",,H",0.0,",,H",60.0,"H,,S",67.0,",,W",44.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",29.63806,-95.28194,13.4,2020-01-08,8.95,",,W",,,0.0,",,W,2400",0.0,",,H",0.0,",,H",53.0,"H,,S",69.0,",,W",39.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",29.63806,-95.28194,13.4,2020-01-09,13.87,",,W",,,0.01,",,W,2400",0.0,",,H",0.0,",,H",66.0,"H,,S",75.0,",,W",60.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",29.63806,-95.28194,13.4,2020-01-10,20.58,",,W",,,0.03,",,W,2400",0.0,",,H",0.0,",,H",72.0,"H,,S",75.0,",,W",71.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",29.63806,-95.28194,13.4,2020-01-11,10.96,",,W",,,0.98,",,W,2400",0.0,",,H",0.0,",,H",61.0,"H,,S",73.0,",,W",43.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",29.63806,-95.28194,13.4,2020-01-12,6.71,",,W",,,0.0,",,W,2400",0.0,",,H",0.0,",,H",47.0,"H,,S",59.0,",,W",38.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",29.63806,-95.28194,13.4,2020-01-13,7.16,",,W",,,0.24,",,W,2400",0.0,",,H",0.0,",,H",57.0,"H,,S",68.0,",,W",53.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",29.63806,-95.28194,13.4,2020-01-14,10.07,",,W",,,0.13,",,W,2400",0.0,",,H",0.0,",,H",71.0,"H,,S",80.0,",,W",69.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",29.63806,-95.28194,13.4,2020-01-15,8.95,",,W",,,0.0,",,W,2400",0.0,",,H",0.0,",,H",73.0,"H,,S",81.0,",,W",70.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",29.63806,-95.28194,13.4,2020-01-16,8.05,",,W",,,0.0,"T,,W,2400",0.0,",,H",0.0,",,H",70.0,"H,,S",73.0,",,W",67.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",29.63806,-95.28194,13.4,2020-01-17,12.3,",,W",,,0.04,",,W,2400",0.0,",,H",0.0,",,H",66.0,"H,,S",71.0,",,W",62.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",29.63806,-95.28194,13.4,2020-01-18,8.95,",,W",,,0.52,",,W,2400",0.0,",,H",0.0,",,H",69.0,"H,,S",74.0,",,W",57.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",29.63806,-95.28194,13.4,2020-01-19,14.32,",,W",,,0.0,",,W,2400",0.0,",,H",0.0,",,H",56.0,"H,,S",61.0,",,W",46.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",29.63806,-95.28194,13.4,2020-01-20,8.5,",,W",,,0.0,",,W,2400",0.0,",,H",0.0,",,H",51.0,"H,,S",62.0,",,W",42.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",29.63806,-95.28194,13.4,2020-01-21,8.28,",,W",,,0.0,",,W,2400",0.0,",,H",0.0,",,H",51.0,"H,,S",58.0,",,W",41.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",29.63806,-95.28194,13.4,2020-01-22,12.97,",,W",,,1.4,",,W,2400",0.0,",,H",0.0,",,H",53.0,"H,,S",62.0,",,W",48.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",29.63806,-95.28194,13.4,2020-01-23,9.4,",,W",,,0.4,",,W,2400",0.0,",,H",0.0,",,H",61.0,"H,,S",64.0,",,W",48.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",29.63806,-95.28194,13.4,2020-01-24,4.92,",,W",,,0.0,",,W,2400",0.0,",,H",0.0,",,H",54.0,"H,,S",68.0,",,W",43.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",29.63806,-95.28194,13.4,2020-01-25,8.5,",,W",,,0.01,",,W,2400",0.0,",,H",0.0,",,H",56.0,"H,,S",66.0,",,W",47.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",29.63806,-95.28194,13.4,2020-01-26,6.04,",,W",,,0.22,",,W,2400",0.0,",,H",0.0,",,H",66.0,"H,,S",75.0,",,W",57.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",29.63806,-95.28194,13.4,2020-01-27,8.05,",,W",,,0.0,",,W,2400",0.0,",,H",0.0,",,H",60.0,"H,,S",65.0,",,W",56.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",29.63806,-95.28194,13.4,2020-01-28,10.29,",,W",,,0.63,",,W,2400",0.0,",,H",0.0,",,H",59.0,"H,,S",64.0,",,W",52.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
