Unnamed: 0,STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,AWND_ATTRIBUTES,EVAP,EVAP_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,WESD,WESD_ATTRIBUTES,WESF,WESF_ATTRIBUTES,MXPN,MXPN_ATTRIBUTES,PGTM,PGTM_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT02,WT02_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT05,WT05_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT08,WT08_ATTRIBUTES,PSUN,PSUN_ATTRIBUTES,TSUN,TSUN_ATTRIBUTES
,USW00024127,"SALT LAKE CITY INTERNATIONAL AIRPORT, UT US",40.7781,-111.9694,1287.8,2020-01-01,9.4,",,W",,,0.17,",,W,2400",1.5,",,W,2400",0.0,",,W,2400",32.0,"H,,S",38.0,",,W",29.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00024127,"SALT LAKE CITY INTERNATIONAL AIRPORT, UT US",40.7781,-111.9694,1287.8,2020-01-02,3.13,",,W",,,0.01,",,W,2400",0.0,"T,,W,2400",0.0,"T,,W,2400",36.0,"H,,S",40.0,",,W",33.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00024127,"SALT LAKE CITY INTERNATIONAL AIRPORT, UT US",40.7781,-111.9694,1287.8,2020-01-03,8.05,",,W",,,0.0,",,W,2400",0.0,",,W,2400",0.0,",,W,2400",38.0,"H,,S",46.0,",,W",34.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00024127,"SALT LAKE CITY INTERNATIONAL AIRPORT, UT US",40.7781,-111.9694,1287.8,2020-01-04,8.5,",,W",,,0.0,",,W,2400",0.0,",,W,2400",0.0,",,W,2400",38.0,"H,,S",46.0,",,W",29.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00024127,"SALT LAKE CITY INTERNATIONAL AIRPORT, UT US",40.7781,-111.9694,1287.8,2020-01-05,4.03,",,W",,,0.0,"T,,W,2400",0.0,"T,,W,2400",0.0,",,W,2400",32.0,"H,,S",39.0,",,W",26.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00024127,"SALT LAKE CITY INTERNATIONAL AIRPORT, UT US",40.7781,-111.9694,1287.8,2020-01-06,5.82,",,W",,,0.0,",,W,2400",0.0,",,W,2400",0.0,",,W,2400",35.0,"H,,S",43.0,",,W",29.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00024127,"SALT LAKE CITY INTERNATIONAL AIRPORT, UT US",40.7781,-111.9694,1287.8,2020-01-07,10.51,",,W",,,0.0,",,W,2400",0.0,",,W,2400",0.0,",,W,2400",39.0,"H,,S",49.0,",,W",31.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00024127,"SALT LAKE CITY INTERNATIONAL AIRPORT, UT US",40.7781,-111.9694,1287.8,2020-01-08,4.47,",,W",,,0.08,",,W,2400",0.6,",,W,2400",0.0,",,W,2400",38.0,"H,,S",42.0,",,W",32.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00024127,"SALT LAKE CITY INTERNATIONAL AIRPORT, UT US",40.7781,-111.9694,1287.8,2020-01-09,6.71,",,W",,,0.08,",,W,2400",0.8,",,W,2400",0.0,",,W,2400",35.0,"H,,S",40.0,",,W",29.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00024127,"SALT LAKE CITY INTERNATIONAL AIRPORT, UT US",40.7781,-111.9694,1287.8,2020-01-10,5.59,",,W",,,0.01,",,W,2400",0.2,",,W,2400",0.0,"T,,W,2400",30.0,"H,,S",34.0,",,W",20.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00024127,"SALT LAKE CITY INTERNATIONAL AIRPORT, UT US",40.7781,-111.9694,1287.8,2020-01-11,7.61,",,W",,,0.05,",,W,2400",0.7,",,W,2400",0.0,"T,,W,2400",31.0,"H,,S",37.0,",,W",28.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00024127,"SALT LAKE CITY INTERNATIONAL AIRPORT, UT US",40.7781,-111.9694,1287.8,2020-01-12,6.04,",,W",,,0.12,",,W,2400",2.6,",,W,2400",2.0,",,W,2400",32.0,"H,,S",34.0,",,W",28.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00024127,"SALT LAKE CITY INTERNATIONAL AIRPORT, UT US",40.7781,-111.9694,1287.8,2020-01-13,7.16,",,W",,,0.06,",,W,2400",0.8,",,W,2400",2.0,",,W,2400",32.0,"H,,S",41.0,",,W",30.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00024127,"SALT LAKE CITY INTERNATIONAL AIRPORT, UT US",40.7781,-111.9694,1287.8,2020-01-14,12.53,",,W",,,0.09,",,W,2400",1.2,",,W,2400",2.0,",,W,2400",36.0,"H,,S",44.0,",,W",23.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00024127,"SALT LAKE CITY INTERNATIONAL AIRPORT, UT US",40.7781,-111.9694,1287.8,2020-01-15,5.37,",,W",,,0.0,",,W,2400",0.0,",,W,2400",3.1,",,W,2400",28.0,"H,,S",37.0,",,W",20.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00024127,"SALT LAKE CITY INTERNATIONAL AIRPORT, UT US",40.7781,-111.9694,1287.8,2020-01-16,14.76,",,W",,,0.0,",,W,2400",0.0,",,W,2400",2.0,",,W,2400",35.0,"H,,S",51.0,",,W",23.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00024127,"SALT LAKE CITY INTERNATIONAL AIRPORT, UT US",40.7781,-111.9694,1287.8,2020-01-17,11.63,",,W",,,0.18,",,W,2400",2.1,",,W,2400",0.0,"T,,W,2400",41.0,"H,,S",48.0,",,W",26.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00024127,"SALT LAKE CITY INTERNATIONAL AIRPORT, UT US",40.7781,-111.9694,1287.8,2020-01-18,5.37,",,W",,,0.0,",,W,2400",0.0,",,W,2400",1.2,",,W,2400",31.0,"H,,S",42.0,",,W",25.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00024127,"SALT LAKE CITY INTERNATIONAL AIRPORT, UT US",40.7781,-111.9694,1287.8,2020-01-19,3.58,",,W",,,0.0,",,W,2400",0.0,",,W,2400",1.2,",,W,2400",30.0,"H,,S",41.0,",,W",22.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00024127,"SALT LAKE CITY INTERNATIONAL AIRPORT, UT US",40.7781,-111.9694,1287.8,2020-01-20,3.8,",,W",,,0.0,",,W,2400",0.0,",,W,2400",0.0,"T,,W,2400",30.0,"H,,S",37.0,",,W",25.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
