Unnamed: 0,STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,AWND_ATTRIBUTES,EVAP,EVAP_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,WESD,WESD_ATTRIBUTES,WESF,WESF_ATTRIBUTES,MXPN,MXPN_ATTRIBUTES,PGTM,PGTM_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT02,WT02_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT05,WT05_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT08,WT08_ATTRIBUTES,PSUN,PSUN_ATTRIBUTES,TSUN,TSUN_ATTRIBUTES
,USW00013737,"NORFOLK INTERNATIONAL AIRPORT, VA US",36.9033,-76.1922,9.1,2020-01-01,5.59,",,W",,,0.0,",,W,2400",0.0,",,W",0.0,",,W",48.0,"H,,S",56.0,",,W",40.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00013737,"NORFOLK INTERNATIONAL AIRPORT, VA US",36.9033,-76.1922,9.1,2020-01-02,11.86,",,W",,,0.0,",,W,2400",0.0,",,W",0.0,",,W",47.0,"H,,S",62.0,",,W",35.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00013737,"NORFOLK INTERNATIONAL AIRPORT, VA US",36.9033,-76.1922,9.1,2020-01-03,9.17,",,W",,,0.45,",,W,2400",0.0,",,W",0.0,",,W",54.0,"H,,S",60.0,",,W",48.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00013737,"NORFOLK INTERNATIONAL AIRPORT, VA US",36.9033,-76.1922,9.1,2020-01-04,9.17,",,W",,,0.47,",,W,2400",0.0,",,W",0.0,",,W",61.0,"H,,S",63.0,",,W",50.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00013737,"NORFOLK INTERNATIONAL AIRPORT, VA US",36.9033,-76.1922,9.1,2020-01-05,7.83,",,W",,,0.04,",,W,2400",0.0,",,W",0.0,",,W",49.0,"H,,S",50.0,",,W",36.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00013737,"NORFOLK INTERNATIONAL AIRPORT, VA US",36.9033,-76.1922,9.1,2020-01-06,5.14,",,W",,,0.0,",,W,2400",0.0,",,W",0.0,",,W",45.0,"H,,S",58.0,",,W",35.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00013737,"NORFOLK INTERNATIONAL AIRPORT, VA US",36.9033,-76.1922,9.1,2020-01-07,7.61,",,W",,,0.13,",,W,2400",0.0,",,W",0.0,",,W",45.0,"H,,S",57.0,",,W",36.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00013737,"NORFOLK INTERNATIONAL AIRPORT, VA US",36.9033,-76.1922,9.1,2020-01-08,9.4,",,W",,,0.0,",,W,2400",0.0,",,W",0.0,",,W",44.0,"H,,S",55.0,",,W",31.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00013737,"NORFOLK INTERNATIONAL AIRPORT, VA US",36.9033,-76.1922,9.1,2020-01-09,7.83,",,W",,,0.0,",,W,2400",0.0,",,W",0.0,",,W",42.0,"H,,S",44.0,",,W",37.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00013737,"NORFOLK INTERNATIONAL AIRPORT, VA US",36.9033,-76.1922,9.1,2020-01-10,8.5,",,W",,,0.0,",,W,2400",0.0,",,W",0.0,",,W",52.0,"H,,S",71.0,",,W",38.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
