Unnamed: 0,STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,AWND_ATTRIBUTES,EVAP,EVAP_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,WESD,WESD_ATTRIBUTES,WESF,WESF_ATTRIBUTES,MXPN,MXPN_ATTRIBUTES,PGTM,PGTM_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT02,WT02_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT05,WT05_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT08,WT08_ATTRIBUTES,PSUN,PSUN_ATTRIBUTES,TSUN,TSUN_ATTRIBUTES
,USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",44.4683,-73.1499,100.6,2020-01-01,8.28,",,W",,,0.01,",,W,2400",0.2,",,W,2400",2.0,",,W,2400",34.0,"H,,S",36.0,",,W",32.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",44.4683,-73.1499,100.6,2020-01-02,11.18,",,W",,,0.0,",,W,2400",0.0,",,W,2400",2.0,",,W,2400",34.0,"H,,S",40.0,",,W",29.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",44.4683,-73.1499,100.6,2020-01-03,7.16,",,W",,,0.0,",,W,2400",0.0,",,W,2400",1.2,",,W,2400",41.0,"H,,S",44.0,",,W",38.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",44.4683,-73.1499,100.6,2020-01-04,6.71,",,W",,,0.2,",,W,2400",2.9,",,W,2400",0.0,",,W,2400",37.0,"H,,S",40.0,",,W",30.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",44.4683,-73.1499,100.6,2020-01-05,8.95,",,W",,,0.0,"T,,W,2400",0.0,"T,,W,2400",3.1,",,W,2400",28.0,"H,,S",30.0,",,W",16.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",44.4683,-73.1499,100.6,2020-01-06,5.82,",,W",,,0.06,",,W,2400",1.6,",,W,2400",2.0,",,W,2400",22.0,"H,,S",33.0,",,W",13.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",44.4683,-73.1499,100.6,2020-01-07,5.59,",,W",,,0.01,",,W,2400",0.3,",,W,2400",3.1,",,W,2400",30.0,"H,,S",34.0,",,W",27.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",44.4683,-73.1499,100.6,2020-01-08,11.41,",,W",,,0.04,",,W,2400",1.0,",,W,2400",3.1,",,W,2400",31.0,"H,,S",34.0,",,W",14.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",44.4683,-73.1499,100.6,2020-01-09,8.05,",,W",,,0.0,",,W,2400",0.0,",,W,2400",3.1,",,W,2400",14.0,"H,,S",22.0,",,W",6.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",44.4683,-73.1499,100.6,2020-01-10,19.69,",,W",,,0.0,"T,,W,2400",0.0,"T,,W,2400",3.1,",,W,2400",30.0,"H,,S",42.0,",,W",22.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",44.4683,-73.1499,100.6,2020-01-11,16.11,",,W",,,0.62,",,W,2400",0.0,"T,,W,2400",0.0,",,W,2400",48.0,"H,,S",59.0,",,W",34.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",44.4683,-73.1499,100.6,2020-01-12,9.17,",,W",,,0.35,",,W,2400",0.1,",,W,2400",0.0,"T,,W,2400",32.0,"H,,S",34.0,",,W",20.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",44.4683,-73.1499,100.6,2020-01-13,3.8,",,W",,,0.02,",,W,2400",0.2,",,W,2400",0.0,"T,,W,2400",24.0,"H,,S",31.0,",,W",20.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",44.4683,-73.1499,100.6,2020-01-14,4.92,",,W",,,0.0,"T,,W,2400",0.0,"T,,W,2400",0.0,"T,,W,2400",25.0,"H,,S",36.0,",,W",23.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",44.4683,-73.1499,100.6,2020-01-15,2.68,",,W",,,0.05,",,W,2400",0.1,",,W,2400",0.0,"T,,W,2400",35.0,"H,,S",38.0,",,W",32.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",44.4683,-73.1499,100.6,2020-01-16,11.86,",,W",,,0.36,",,W,2400",5.8,",,W,2400",3.1,",,W,2400",31.0,"H,,S",33.0,",,W",14.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",44.4683,-73.1499,100.6,2020-01-17,5.82,",,W",,,0.0,",,W,2400",0.0,"T,,W,2400",5.9,",,W,2400",9.0,"H,,S",14.0,",,W",-1.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",44.4683,-73.1499,100.6,2020-01-18,7.61,",,W",,,0.22,",,W,2400",2.2,",,W,2400",5.1,",,W,2400",5.0,"H,,S",20.0,",,W",-1.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",44.4683,-73.1499,100.6,2020-01-19,11.18,",,W",,,0.05,",,W,2400",1.8,",,W,2400",5.9,",,W,2400",20.0,"H,,S",29.0,",,W",12.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",44.4683,-73.1499,100.6,2020-01-20,5.14,",,W",,,0.0,"T,,W,2400",0.0,"T,,W,2400",7.1,",,W,2400",12.0,"H,,S",18.0,",,W",1.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",44.4683,-73.1499,100.6,2020-01-21,4.47,",,W",,,0.0,",,W,2400",0.0,",,W,2400",5.9,",,W,2400",8.0,"H,,S",20.0,",,W",-4.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",44.4683,-73.1499,100.6,2020-01-22,10.74,",,W",,,0.0,",,W,2400",0.0,",,W,2400",5.9,",,W,2400",25.0,"H,,S",34.0,",,W",20.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",44.4683,-73.1499,100.6,2020-01-23,4.7,",,W",,,0.0,",,W,2400",0.0,",,W,2400",5.1,",,W,2400",30.0,"H,,S",37.0,",,W",17.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",44.4683,-73.1499,100.6,2020-01-24,1.34,",,W",,,0.0,",,W,2400",0.0,",,W,2400",5.1,",,W,2400",29.0,"H,,S",41.0,",,W",20.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",44.4683,-73.1499,100.6,2020-01-25,6.49,",,W",,,0.47,",,W,2400",0.2,",,W,2400",5.1,",,W,2400",31.0,"H,,S",42.0,",,W",23.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",44.4683,-73.1499,100.6,2020-01-26,6.71,",,W",,,0.09,",,W,2400",0.0,"T,,W,2400",3.9,",,W,2400",35.0,"H,,S",39.0,",,W",33.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",44.4683,-73.1499,100.6,2020-01-27,5.59,",,W",,,0.05,",,W,2400",0.3,",,W,2400",3.1,",,W,2400",35.0,"H,,S",37.0,",,W",32.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",44.4683,-73.1499,100.6,2020-01-28,9.62,",,W",,,0.01,",,W,2400",0.1,",,W,2400",3.1,",,W,2400",32.0,"H,,S",32.0,",,W",28.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",44.4683,-73.1499,100.6,2020-01-29,8.5,",,W",,,0.0,",,W,2400",0.0,",,W,2400",3.1,",,W,2400",24.0,"H,,S",28.0,",,W",11.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",44.4683,-73.1499,100.6,2020-01-30,0.89,",,W",,,0.0,",,W,2400",0.0,",,W,2400",3.1,",,W,2400",15.0,"H,,S",27.0,",,W",6.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
