Unnamed: 0,STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,AWND_ATTRIBUTES,EVAP,EVAP_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,WESD,WESD_ATTRIBUTES,WESF,WESF_ATTRIBUTES,MXPN,MXPN_ATTRIBUTES,PGTM,PGTM_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT02,WT02_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT05,WT05_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT08,WT08_ATTRIBUTES,PSUN,PSUN_ATTRIBUTES,TSUN,TSUN_ATTRIBUTES
,USW00013866,"CHARLESTON YEAGER AIRPORT, WV US",38.3794,-81.59,277.4,2020-01-01,7.61,",,W",,,0.0,",,W,2400",0.0,",,W,2400",0.0,",,W,2400",41.0,"H,,S",48.0,",,W",31.0,",,W",,,,,,,,,240.0,",,W",240.0,",,W",18.1,",,W",23.9,",,W",,,,,,,,,,,,,,,,,,
,USW00013866,"CHARLESTON YEAGER AIRPORT, WV US",38.3794,-81.59,277.4,2020-01-02,3.8,",,W",,,0.04,",,W,2400",0.0,",,W,2400",0.0,",,W,2400",39.0,"H,,S",56.0,",,W",26.0,",,W",,,,,,,,,220.0,",,W",210.0,",,W",16.1,",,W",19.9,",,W",1.0,",,W",,,,,,,,,,,,,,,,
,USW00013866,"CHARLESTON YEAGER AIRPORT, WV US",38.3794,-81.59,277.4,2020-01-03,2.91,",,W",,,0.61,",,W,2400",0.0,",,W,2400",0.0,",,W,2400",53.0,"H,,S",57.0,",,W",50.0,",,W",,,,,,,,,240.0,",,W",240.0,",,W",12.1,",,W",21.9,",,W",1.0,",,W",,,,,,,,,,,,,,,,
,USW00013866,"CHARLESTON YEAGER AIRPORT, WV US",38.3794,-81.59,277.4,2020-01-04,8.72,",,W",,,0.52,",,W,2400",0.2,",,W,2400",0.0,",,W,2400",50.0,"H,,S",56.0,",,W",33.0,",,W",,,,,,,,,270.0,",,W",320.0,",,W",21.9,",,W",32.0,",,W",1.0,",,W",,,,,1.0,",,W",,,,,,,,,,
,USW00013866,"CHARLESTON YEAGER AIRPORT, WV US",38.3794,-81.59,277.4,2020-01-05,7.83,",,W",,,0.0,"T,,W,2400",0.1,",,W,2400",0.0,"T,,W,2400",36.0,"H,,S",44.0,",,W",32.0,",,W",,,,,,,,,250.0,",,W",260.0,",,W",16.1,",,W",23.9,",,W",,,,,,,,,,,,,,,,,,
,USW00013866,"CHARLESTON YEAGER AIRPORT, WV US",38.3794,-81.59,277.4,2020-01-06,5.37,",,W",,,0.0,",,W,2400",0.0,",,W,2400",0.0,",,W,2400",41.0,"H,,S",47.0,",,W",28.0,",,W",,,,,,,,,280.0,",,W",250.0,",,W",16.1,",,W",21.0,",,W",,,,,,,,,,,,,,,,,,
,USW00013866,"CHARLESTON YEAGER AIRPORT, WV US",38.3794,-81.59,277.4,2020-01-07,6.04,",,W",,,0.26,",,W,2400",3.0,",,W,2400",0.0,",,W,2400",32.0,"H,,S",39.0,",,W",25.0,",,W",,,,,,,,,230.0,",,W",230.0,",,W",13.0,",,W",17.0,",,W",1.0,",,W",,,,,,,,,,,,,,,,
,USW00013866,"CHARLESTON YEAGER AIRPORT, WV US",38.3794,-81.59,277.4,2020-01-08,9.17,",,W",,,0.0,",,W,2400",0.0,",,W,2400",1.2,",,W,2400",40.0,"H,,S",45.0,",,W",27.0,",,W",,,,,,,,,260.0,",,W",280.0,",,W",23.0,",,W",36.0,",,W",,,,,,,,,,,,,,,,,,
,USW00013866,"CHARLESTON YEAGER AIRPORT, WV US",38.3794,-81.59,277.4,2020-01-09,2.91,",,W",,,0.0,",,W,2400",0.0,",,W,2400",0.0,",,W,2400",37.0,"H,,S",60.0,",,W",23.0,",,W",,,,,,,,,140.0,",,W",140.0,",,W",12.1,",,W",16.1,",,W",,,,,,,,,,,,,,,,,,
,USW00013866,"CHARLESTON YEAGER AIRPORT, WV US",38.3794,-81.59,277.4,2020-01-10,6.71,",,W",,,0.0,"T,,W,2400",0.0,",,W,2400",0.0,",,W,2400",55.0,"H,,S",68.0,",,W",48.0,",,W",,,,,,,,,180.0,",,W",200.0,",,W",21.0,",,W",28.0,",,W",,,,,,,,,,,,,,,,,,
