Unnamed: 0,STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,AWND_ATTRIBUTES,EVAP,EVAP_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,WESD,WESD_ATTRIBUTES,WESF,WESF_ATTRIBUTES,MXPN,MXPN_ATTRIBUTES,PGTM,PGTM_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT02,WT02_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT05,WT05_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT08,WT08_ATTRIBUTES,PSUN,PSUN_ATTRIBUTES,TSUN,TSUN_ATTRIBUTES
,USW00024018,"CHEYENNE WSFO AIRPORT, WY US",41.157779999999995,-104.80694,1863.2,2020-01-01,25.72,",,W",,,0.0,",,W,2400",0.0,",,W",1.2,",,W,",36.0,"H,,S",40.0,",,W",30.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00024018,"CHEYENNE WSFO AIRPORT, WY US",41.157779999999995,-104.80694,1863.2,2020-01-02,15.43,",,W",,,0.0,",,W,2400",0.0,",,W",0.0,"T,,W,",32.0,"H,,S",37.0,",,W",23.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00024018,"CHEYENNE WSFO AIRPORT, WY US",41.157779999999995,-104.80694,1863.2,2020-01-03,14.09,",,W",,,0.0,",,W,2400",0.0,",,W",0.0,"T,,W,",29.0,"H,,S",40.0,",,W",20.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00024018,"CHEYENNE WSFO AIRPORT, WY US",41.157779999999995,-104.80694,1863.2,2020-01-04,19.91,",,W",,,0.0,",,W,2400",0.0,",,W",0.0,"T,,W,",40.0,"H,,S",55.0,",,W",33.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00024018,"CHEYENNE WSFO AIRPORT, WY US",41.157779999999995,-104.80694,1863.2,2020-01-05,12.97,",,W",,,0.0,"T,,W,2400",0.0,"T,,W",0.0,"T,,W,",33.0,"H,,S",34.0,",,W",24.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00024018,"CHEYENNE WSFO AIRPORT, WY US",41.157779999999995,-104.80694,1863.2,2020-01-06,26.62,",,W",,,0.0,",,W,2400",0.0,",,W",0.0,",,W,",28.0,"H,,S",34.0,",,W",24.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00024018,"CHEYENNE WSFO AIRPORT, WY US",41.157779999999995,-104.80694,1863.2,2020-01-07,22.37,",,W",,,0.0,",,W,2400",0.0,",,W",0.0,",,W,",36.0,"H,,S",47.0,",,W",31.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00024018,"CHEYENNE WSFO AIRPORT, WY US",41.157779999999995,-104.80694,1863.2,2020-01-08,12.08,",,W",,,0.0,",,W,2400",0.0,",,W",0.0,",,W,",38.0,"H,,S",54.0,",,W",26.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00024018,"CHEYENNE WSFO AIRPORT, WY US",41.157779999999995,-104.80694,1863.2,2020-01-09,9.62,",,W",,,0.07,",,W,2400",1.1,",,W",0.0,",,W,",31.0,"H,,S",37.0,",,W",20.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USW00024018,"CHEYENNE WSFO AIRPORT, WY US",41.157779999999995,-104.80694,1863.2,2020-01-10,10.51,",,W",,,0.01,",,W,2400",0.1,",,W",1.2,",,W,",21.0,"H,,S",25.0,",,W",9.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
