LVL,DATE,COUNTY_FIPS,POP_AT_HOME,POP_NOT_AT_HOME,NUM_OF_TRIPS
State,2019/01/01,,1798521.0,5082532.0,22181890.0
State,2019/01/01,,2342813.0,7622550.0,26701254.0
State,2019/01/01,,1266769.0,4327262.0,15278584.0
State,2019/01/01,,596999.0,2380405.0,7297125.0
State,2019/01/01,,1530765.0,4576960.0,16618431.0
State,2019/01/01,,274792.0,784266.0,2713339.0
State,2019/01/01,,441655.0,1481719.0,5193396.0
State,2019/01/01,,753054.0,2272063.0,9139676.0
State,2019/01/01,,312645.0,1039666.0,3705345.0
State,2019/01/01,,2244189.0,6637104.0,26078674.0
State,2019/01/01,,525761.0,1563262.0,6475422.0
State,2019/01/01,,5931873.0,13550603.0,60957950.0
State,2019/01/01,,2293224.0,8058657.0,26744044.0
State,2019/01/01,,178793.0,578962.0,1893234.0
State,2019/01/01,,2797424.0,8856289.0,30847306.0
State,2019/01/01,,980945.0,2950079.0,9750687.0
State,2019/01/01,,1033821.0,3144080.0,12028695.0
State,2019/01/01,,3132920.0,9634995.0,33826579.0
State,2019/01/01,,251088.0,802995.0,2932020.0
State,2019/01/01,,2370345.0,8116978.0,25999681.0
State,2019/01/01,,200344.0,534838.0,1942538.0
State,2019/01/01,,9212440.0,30223696.0,111648618.0
State,2019/01/01,,642665.0,2361951.0,7488494.0
State,2019/01/01,,1721026.0,5428700.0,18705619.0
State,2019/01/01,,4524666.0,16709556.0,55258300.0
State,2019/01/01,,241030.0,459278.0,3114055.0
State,2019/01/01,,224457.0,739757.0,2420942.0
State,2019/01/01,,853894.0,2707851.0,9468961.0
State,2019/01/01,,1500392.0,4177764.0,17617208.0
State,2019/01/01,,1028578.0,3844356.0,11968328.0
State,2019/01/01,,1072757.0,3995826.0,13020123.0
State,2019/01/01,,208888.0,670647.0,2322446.0
State,2019/01/01,,1530030.0,5219288.0,18171542.0
State,2019/01/01,,6241090.0,22373021.0,71153995.0
State,2019/01/01,,743549.0,2407892.0,9502097.0
State,2019/01/01,,154587.0,469797.0,1637249.0
State,2019/01/01,,1903963.0,6587692.0,24369646.0
State,2019/01/01,,1664296.0,5848264.0,21452760.0
State,2019/01/01,,467246.0,1333064.0,4532730.0
State,2019/01/01,,1299050.0,4496750.0,15989565.0
State,2019/01/01,,157201.0,418769.0,1654455.0
State,2019/01/01,,321121.0,1095029.0,3749820.0
State,2019/01/01,,404687.0,1344160.0,4401031.0
State,2019/01/01,,3216509.0,9485624.0,37861772.0
State,2019/01/01,,1566096.0,5105330.0,18395241.0
State,2019/01/01,,743611.0,2402886.0,8461075.0
State,2019/01/01,,707412.0,2195189.0,8211920.0
State,2019/01/01,,1052270.0,3402472.0,12746274.0
State,2019/01/01,,1042471.0,3603260.0,13635299.0
State,2019/01/01,,346040.0,988274.0,3208717.0
State,2019/01/01,,1383105.0,4641145.0,17310216.0
State,2019/01/02,,1202957.0,5546361.0,22776413.0
State,2019/01/02,,805275.0,4067659.0,15364317.0
State,2019/01/02,,164221.0,570961.0,2558434.0
State,2019/01/02,,1383271.0,5766455.0,23171878.0
State,2019/01/02,,498932.0,2505684.0,9388305.0
State,2019/01/02,,7563889.0,31872247.0,139079128.0
State,2019/01/02,,1187834.0,4490322.0,22619705.0
State,2019/01/02,,664253.0,2897492.0,12178390.0
State,2019/01/02,,172769.0,791445.0,3133970.0
State,2019/01/02,,187674.0,512634.0,3833093.0
State,2019/01/02,,3565510.0,17668712.0,70457285.0
State,2019/01/02,,1863379.0,8623944.0,32672193.0
State,2019/01/02,,275645.0,1140505.0,4802940.0
State,2019/01/02,,330065.0,1418782.0,5525773.0
State,2019/01/02,,278983.0,1055331.0,4082979.0
State,2019/01/02,,1058131.0,4966119.0,22109506.0
State,2019/01/02,,1408154.0,5472899.0,28125611.0
State,2019/01/02,,247780.0,1104531.0,4657220.0
State,2019/01/02,,1731052.0,7150241.0,33163866.0
State,2019/01/02,,424606.0,1664417.0,8005827.0
State,2019/01/02,,2198201.0,9455512.0,39655603.0
State,2019/01/02,,756915.0,3174109.0,12593146.0
State,2019/01/02,,851784.0,3326117.0,14972698.0
State,2019/01/02,,2457011.0,10310904.0,43142601.0
State,2019/01/02,,196224.0,857859.0,3636158.0
State,2019/01/02,,1489928.0,7001727.0,30710013.0
State,2019/01/02,,1367232.0,6145328.0,26201789.0
State,2019/01/02,,367115.0,1433195.0,5834924.0
State,2019/01/02,,1022889.0,4772911.0,20465485.0
State,2019/01/02,,128102.0,447868.0,2224759.0
