STATE_ID,STATE,CITY,COUNTY_NAME,COUNTY_FIPS,WEARS_MASKS_REGULARLY,WEARS_MASK_NEVER,WEARS_MASK_RARELY,WEARS_MASK_SOMETIMES,WEARS_MASK_FREQUENTLY,WEARS_MASK_ALWAYS
AL,Alabama,BIRMINGHAM,Jefferson,1073,0.8069999999999999,0.049,0.037000000000000005,0.107,0.179,0.628
AK,Alaska,ANCHORAGE,Anchorage,2020,0.859,0.042,0.05,0.049,0.196,0.6629999999999999
AR,Arkansas,LITTLE ROCK,Pulaski,5119,0.819,0.027999999999999997,0.027000000000000003,0.126,0.175,0.644
AZ,Arizona,PHOENIX,Maricopa,4013,0.8920000000000001,0.023,0.025,0.059000000000000004,0.158,0.7340000000000001
CA,California,LOS ANGELES,Los Angeles,6037,0.9169999999999999,0.021,0.013000000000000001,0.049,0.131,0.7859999999999999
CO,Colorado,DENVER,Denver,8031,0.901,0.02,0.018000000000000002,0.062,0.19399999999999998,0.7070000000000001
CT,Connecticut,BRIDGEPORT,Fairfield,9001,0.894,0.027000000000000003,0.019,0.06,0.114,0.78
DE,Delaware,WILMINGTON,New Castle,10003,0.9189999999999999,0.027000000000000003,0.013000000000000001,0.040999999999999995,0.133,0.7859999999999999
FL,Florida,JACKSONVILLE,Duval,12031,0.823,0.049,0.042,0.086,0.19399999999999998,0.629
GA,Georgia,ATLANTA,Fulton,13121,0.849,0.026000000000000002,0.036000000000000004,0.08900000000000001,0.187,0.662
HI,Hawaii,HONOLULU,Honolulu,15003,0.949,0.011000000000000001,0.012,0.027000000000000003,0.151,0.7979999999999999
ID,Idaho,BOISE,Ada,16001,0.72,0.11800000000000001,0.078,0.084,0.19399999999999998,0.526
IL,Illinois,CHICAGO,Cook,17031,0.884,0.023,0.021,0.07200000000000001,0.162,0.722
IN,Indiana,INDIANAPOLIS,Marion,18097,0.7799999999999999,0.051,0.053,0.11599999999999999,0.23199999999999998,0.5479999999999999
IA,Iowa,DES MOINES,Polk,19153,0.732,0.044000000000000004,0.08900000000000001,0.136,0.259,0.473
KS,Kansas,WICHITA,Sedgwick,20173,0.759,0.06,0.055,0.126,0.26,0.499
KY,Kentucky,LOUISVILLE,Jefferson,21111,0.832,0.036000000000000004,0.048,0.083,0.23,0.602
LA,Louisiana,NEW ORLEANS,Orleans,22071,0.8600000000000001,0.019,0.034,0.087,0.20600000000000002,0.654
ME,Maine,PORTLAND,Cumberland,23005,0.851,0.05,0.053,0.046,0.182,0.669
MD,Maryland,BALTIMORE,Baltimore,24510,0.881,0.024,0.032,0.063,0.14800000000000002,0.733
MA,Massachusetts,BOSTON,Suffolk,25025,0.9239999999999999,0.02,0.006999999999999999,0.049,0.136,0.7879999999999999
MI,Michigan,DETROIT,Wayne,26163,0.846,0.046,0.032,0.075,0.156,0.69
MN,Minnesota,MINNEAPOLIS,Hennepin,27053,0.839,0.021,0.044000000000000004,0.096,0.243,0.596
MS,Mississippi,JACKSON,Hinds,28049,0.7709999999999999,0.019,0.096,0.115,0.183,0.588
MO,Missouri,KANSAS CITY,Jackson,29095,0.819,0.027000000000000003,0.066,0.08800000000000001,0.21,0.609
MT,Montana,BILLINGS,Yellowstone,30111,0.527,0.129,0.177,0.16699999999999998,0.262,0.265
NE,Nebraska,OMAHA,Douglas,31055,0.7450000000000001,0.091,0.069,0.095,0.263,0.48200000000000004
NV,Nevada,LAS VEGAS,Clark,32003,0.887,0.027000000000000003,0.032,0.054000000000000006,0.145,0.742
NH,New Hampshire,MANCHESTER,Hillsborough,33011,0.8340000000000001,0.03,0.069,0.066,0.16399999999999998,0.67
NJ,New Jersey,NEWARK,Essex,34013,0.865,0.035,0.013999999999999999,0.085,0.183,0.682
NM,New Mexico,ALBUQUERQUE,Bernalillo,35001,0.893,0.036000000000000004,0.013999999999999999,0.057,0.135,0.758
NY,New York,NEW YORK,New York,36061,0.9239999999999999,0.02,0.016,0.04,0.121,0.8029999999999999
NC,North Carolina,CHARLOTTE,Mecklenburg,37119,0.8600000000000001,0.028999999999999998,0.037000000000000005,0.075,0.166,0.6940000000000001
ND,North Dakota,FARGO,Cass,38017,0.656,0.09,0.113,0.142,0.233,0.423
OH,Ohio,COLUMBUS,Franklin,39049,0.815,0.042,0.054000000000000006,0.09,0.198,0.617
OK,Oklahoma,OKLAHOMA CITY,Oklahoma,40109,0.743,0.096,0.064,0.09699999999999999,0.225,0.518
OR,Oregon,PORTLAND,Multnomah,41051,0.916,0.013000000000000001,0.016,0.054000000000000006,0.17800000000000002,0.738
PA,Pennsylvania,PHILADELPHIA,Philadelphia,42101,0.914,0.023,0.012,0.051,0.12,0.794
RI,Rhode Island,PROVIDENCE,Providence,44007,0.913,0.022000000000000002,0.013999999999999999,0.05,0.159,0.754
SC,South Carolina,COLUMBIA,Richland,45079,0.855,0.03,0.016,0.099,0.235,0.62
SD,South Dakota,SIOUX FALLS,Minnehaha,46099,0.62,0.087,0.187,0.106,0.251,0.369
TN,Tennessee,MEMPHIS,Shelby,47157,0.837,0.034,0.025,0.105,0.184,0.653
TX,Texas,HOUSTON,Harris,48201,0.888,0.019,0.024,0.069,0.152,0.736
UT,Utah,SALT LAKE CITY,Salt Lake,49035,0.846,0.027999999999999997,0.032,0.094,0.20199999999999999,0.644
VT,Vermont,BURLINGTON,Chittenden,50007,0.833,0.031,0.07,0.065,0.115,0.718
VA,Virginia,VIRGINIA BEACH,Virginia Beach,51810,0.8799999999999999,0.017,0.040999999999999995,0.062,0.20199999999999999,0.6779999999999999
WA,Washington,SEATTLE,King,53033,0.915,0.016,0.02,0.05,0.191,0.7240000000000001
WV,West Virginia,CHARLESTON,Kanawha,54039,0.752,0.145,0.039,0.064,0.147,0.605
WI,Wisconsin,MILWAUKEE,Milwaukee,55079,0.7610000000000001,0.053,0.067,0.11900000000000001,0.264,0.49700000000000005
WY,Wyoming,CHEYENNE,Laramie,56021,0.63,0.14300000000000002,0.127,0.1,0.221,0.409
